sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,mappingType,comment,createdBy,createdOn,assignedReviewer
HNG0620,[RFC] Leg ulcer - venous,0,,0.52,UNCHECKED,UNREVIEWED,,0,197304,Ulcer of lower extremity,EVENT,,,1613550360814,
OLTR-CHTR,Test Request : Cholesterol and Triglyceride,0,,0.56,UNCHECKED,UNREVIEWED,,0,40484105,Measurement of total cholesterol and triglycerides,EVENT,,,1613550360815,
EMISNQMI22,Misuse of Morphine Sulphate,0,,0.52,UNCHECKED,UNREVIEWED,,0,44105856,Morphine 1 MG/ML [Morphine Sulphate Bp],EVENT,,,1613550360817,
OLTR-U5HIAA,Test Request : Urine 5HIAA,0,,0.49,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360818,
OLTR-IMSL,Test Request : Infectious Mononucleosis Screen (IM),0,,0.61,UNCHECKED,UNREVIEWED,,0,37397929,Infectious mononucleosis test,EVENT,,,1613550360818,
OLTR-44CD.,Test Request : Serum sex hormne binding glob,0,,0.55,UNCHECKED,UNREVIEWED,,0,37398421,Serum sex hormone binding globulin level,EVENT,,,1613550360819,
EMISNQMI220,Mild acne vulgaris,0,,0.77,UNCHECKED,UNREVIEWED,,0,4028013,Cystic acne,EVENT,,,1613550360820,
OLTR-G12,Test Request : Cultivated Rye Pollen RAST,0,,0.70,UNCHECKED,UNREVIEWED,,0,4123335,Cultivated rye pollen,EVENT,,,1613550360821,
EMISNQRE531,Referred for integrated care,0,,0.64,UNCHECKED,UNREVIEWED,,0,44791509,Referred for telecare,EVENT,,,1613550360822,
ALLERGY34746NEMIS,Adverse reaction to Ranolazine,0,,0.76,UNCHECKED,UNREVIEWED,,0,4317380,Adverse reaction to tolazoline,EVENT,,,1613550360822,
HNG0621,[RFC] Leg ulcer - arterial,0,,0.60,INVALID_TARGET,UNREVIEWED,,0,0,Unmapped,EVENT,Invalid existing target: 4032890,,0,
EMISQ2W4,2 week rule referral - colorectal,0,,0.46,UNCHECKED,UNREVIEWED,,0,4014706,6 week examination abnormal - referred,EVENT,,,1613550360824,
OLTR-U5HIAA24,Test Request : Urine 5HIAA (24 hour),0,,0.39,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360824,
EMISNQIG3,IGRA test invitation first letter,0,,0.63,UNCHECKED,UNREVIEWED,,0,44806254,Renal function monitoring invitation first letter,EVENT,,,1613550360826,
OLTR-CHU,Test Request : Chlamydia PCR (Urine),0,,0.57,UNCHECKED,UNREVIEWED,,0,4133775,Chlamydia PCR positive,EVENT,,,1613550360826,
ALLERGY9.1,Adverse reaction to Drugs Used In Anaemias And Some Other Blood Disorders,0,,0.56,UNCHECKED,UNREVIEWED,,0,441207,Adverse reaction to drug,EVENT,,,1613550360826,
EMISNQMI224,Minor surgery not done,0,,0.79,UNCHECKED,UNREVIEWED,,0,4197168,Minor surgery done,EVENT,,,1613550360827,
EMISNQRE532,Reduced alcohol intake,0,,0.81,UNCHECKED,UNREVIEWED,,0,4052351,Alcohol intake,EVENT,,,1613550360828,
OLTR-U::UF,Test Request : Urine C&S,0,,0.53,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360828,
OLTR-G120,Test Request : OGTT - Glucose At 2 Hours,0,,0.53,UNCHECKED,UNREVIEWED,,0,4012477,Glucose tolerance test,EVENT,,,1613550360829,
OLTR-44CF.,Test Request : Serum beta 2 microglobulin lev,0,,0.73,UNCHECKED,UNREVIEWED,,0,37398422,Serum beta 2 microglobulin level,EVENT,,,1613550360829,
EMISQ2W5,2 week rule referral - urology,0,,0.45,UNCHECKED,UNREVIEWED,,0,4014706,6 week examination abnormal - referred,EVENT,,,1613550360829,
HNG0622,[RFC] Leg ulcer - both arterial & venous,0,,0.49,INVALID_TARGET,UNREVIEWED,,0,0,Unmapped,EVENT,Invalid existing target: 4032890,,0,
ALLERGY3479,Adverse reaction to Phyllocontin Continus,0,,0.71,UNCHECKED,UNREVIEWED,,0,4329330,Adverse reaction to pectin,EVENT,,,1613550360829,
OLTR-CHUR,Test Request : Urine Chlamydia antigen,0,,0.66,UNCHECKED,UNREVIEWED,,0,37394392,Chlamydia antigen test,EVENT,,,1613550360831,
OLTR-IMST,Test Request : Infectious Mononucleosis (glandular fever) screen,0,,0.57,UNCHECKED,UNREVIEWED,,0,37397929,Infectious mononucleosis test,EVENT,,,1613550360831,
EMISNQIG4,IGRA test invitation second letter,0,,0.59,UNCHECKED,UNREVIEWED,,0,35609729,Blood pressure monitoring invitation second letter,EVENT,,,1613550360832,
EMISNQRE533,Referral to women's health service,0,,0.83,UNCHECKED,UNREVIEWED,,0,761985,Women's health service,EVENT,,,1613550360833,
OLTR-44CH.,Test Request : Serum ACE level,0,,0.58,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360834,
EMISNQMI225,Minor surgery done - second procedure,0,,0.66,UNCHECKED,UNREVIEWED,,0,4197168,Minor surgery done,EVENT,,,1613550360834,
HNG0623,[RFC] Urinary incontinence,0,,0.60,UNCHECKED,UNREVIEWED,,0,45879944,Urinary incontinence,EVENT,,,1613550360836,
OLTR-U:CHLP NGP,Test Request : Urine Chlamydia/Gonorrhoea,0,,0.46,UNCHECKED,UNREVIEWED,,0,433417,Gonorrhea,EVENT,,,1613550360837,
OLTR-G14,Test Request : Cultivated Oat Pollen RAST,0,,0.67,UNCHECKED,UNREVIEWED,,0,4128476,Cultivated oat pollen,EVENT,,,1613550360839,
EMISQ2W6,2 week rule referral - haematology,0,,0.51,UNCHECKED,UNREVIEWED,,0,4085004,Referral for hematology test,EVENT,,,1613550360839,
ALLERGY3483,Adverse reaction to Phytex,0,,0.80,UNCHECKED,UNREVIEWED,,0,4329179,Adverse reaction to phytomenadione,EVENT,,,1613550360840,
OLTR-IMZ,Test Request : Immunoglobulins,0,,0.66,UNCHECKED,UNREVIEWED,,0,37399051,Immunoglobulins,EVENT,,,1613550360840,
ALLERGY9.1.1,Adverse reaction to Drugs Used In Iron Deficiency Anaemia,0,,0.64,UNCHECKED,UNREVIEWED,,0,436659,Iron deficiency anemia,EVENT,,,1613550360842,
EMISNQIM1,Immediate swelling of knee,0,,0.67,UNCHECKED,UNREVIEWED,,0,4100297,Swelling of knee joint,EVENT,,,1613550360843,
OLTR-IN,Test Request : Insulin,0,,0.64,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360843,
OLTR-44CN.,Test Request : Serum amylase level,0,,0.66,UNCHECKED,UNREVIEWED,,0,37398227,Serum amylase level,EVENT,,,1613550360843,
OLTR-CHVS,Test Request : High Vaginal Swab Culture (not Virology),0,,0.63,UNCHECKED,UNREVIEWED,,0,46285120,High vaginal swab culture,EVENT,,,1613550360845,
HNG0624,[RFC] Incontinence both urinary & bowel,0,,0.47,UNCHECKED,UNREVIEWED,,0,197675,Incontinence of feces,EVENT,,,1613550360846,
OLTR-U:CSU:UF,Test request : Catheter sample (CSU) C&S,0,,0.39,UNCHECKED,UNREVIEWED,,0,44806484,Catheter sample,EVENT,,,1613550360846,
EMISNQRE534,Refer for biomechanical assessment,0,,0.83,UNCHECKED,UNREVIEWED,,0,44804811,Biomechanical assessment,EVENT,,,1613550360847,
EMISNQMI226,Minor surgery done - third procedure,0,,0.64,UNCHECKED,UNREVIEWED,,0,4197168,Minor surgery done,EVENT,,,1613550360848,
EMISQ2W7,2 week rule referral - head and neck,0,,0.48,UNCHECKED,UNREVIEWED,,0,38003340,MRA - Head and Neck,EVENT,,,1613550360849,
ALLERGY3485,Adverse reaction to Picolax,0,,0.81,UNCHECKED,UNREVIEWED,,0,4329330,Adverse reaction to pectin,EVENT,,,1613550360849,
OLTR-G15,Test Request : Cultivated Wheat Pollen RAST,0,,0.69,UNCHECKED,UNREVIEWED,,0,4128477,Cultivated wheat pollen,EVENT,,,1613550360849,
OLTR-INCAE,Test Request : ANCA ELISA,0,,0.59,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360849,
HNG0625,[RFC] Learning disability,0,,0.65,UNCHECKED,UNREVIEWED,,0,36307559,Learning disability,EVENT,,,1613550360851,
EMISNQIM13,Immunisation history scanned,0,,0.66,UNCHECKED,UNREVIEWED,,0,4064492,No immunization history record,EVENT,,,1613550360852,
OLTR-CI,Test Request : Serum C1 Inhibitor Studies,0,,0.59,UNCHECKED,UNREVIEWED,,0,4133773,Serum C1 esterase inhibitor antigen level,EVENT,,,1613550360853,
ALLERGY9.1.1.1,Adverse reaction to Oral Iron Therapy,0,,0.76,UNCHECKED,UNREVIEWED,,0,4169603,Adverse reaction to oil,EVENT,,,1613550360854,
OLTR-U:MSU:UF,Test request : Mid-stream sample (MSU) C&S,0,,0.42,UNCHECKED,UNREVIEWED,,0,4122280,Mid-stream urine sample,EVENT,,,1613550360855,
EMISQ2W8,2 week rule referral - lung,0,,0.46,UNCHECKED,UNREVIEWED,,0,4014706,6 week examination abnormal - referred,EVENT,,,1613550360855,
EMISNQRE535,Refer for phototherapy of skin,0,,0.82,UNCHECKED,UNREVIEWED,,0,4180886,Phototherapy of skin,EVENT,,,1613550360857,
OLTR-44CS.,Test Request : Serum C reactive protein level,0,,0.74,UNCHECKED,UNREVIEWED,,0,4048092,Serum C reactive protein level,EVENT,,,1613550360858,
ALLERGY3487NEMIS,Adverse reaction to Biloptin,0,,0.73,UNCHECKED,UNREVIEWED,,0,4097948,Biperiden adverse reaction,EVENT,,,1613550360859,
HNG0626,[RFC] Physical disability,0,,0.64,UNCHECKED,UNREVIEWED,,0,44789133,Physical disability,EVENT,,,1613550360860,
OLTR-U:U,Test Request : Urine,0,,0.68,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360861,
OLTR-G16,Test Request : Fluid / Aspirate / Pus (not swabs),0,,0.39,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360861,
EMISNQMI229,Mini-Addenbrooke's cognitive examination score,0,,0.83,UNCHECKED,UNREVIEWED,,0,40483381,Addenbrooke's cognitive examination revised,EVENT,,,1613550360862,
OLTR-INCPGL,Test Request : Insulin & C Peptide & Glucose,0,,0.35,UNCHECKED,UNREVIEWED,,0,42939064,Glucose / Sodium Chloride Injectable Solution [SODIUM CHLORIDE & GLUCOSE DAIHAN],EVENT,,,1613550360864,
OLTR-CIAMBC,Test Request : CT IAM with contrast,0,,0.42,UNCHECKED,UNREVIEWED,,0,4327032,CT of thorax with contrast,EVENT,,,1613550360865,
EMISNQIM14,Implied consent given for treatment,0,,0.79,UNCHECKED,UNREVIEWED,,0,44805362,Informed consent given for treatment,EVENT,,,1613550360866,
EMISNQRE536,Refer to tier 1 (core) podiatry,0,,0.63,UNCHECKED,UNREVIEWED,,0,4141690,Referral to podiatry service,EVENT,,,1613550360867,
OLTR-44CT.,Test Request : Plasma amylase level,0,,0.67,UNCHECKED,UNREVIEWED,,0,37393130,Plasma amylase level,EVENT,,,1613550360868,
EMISQ2W9,2 week rule referral - sarcoma,0,,0.45,UNCHECKED,UNREVIEWED,,0,44791284,Fast track referral for suspected sarcoma,EVENT,,,1613550360869,
HNG0627,[RFC] Mental health problem,0,,0.62,UNCHECKED,UNREVIEWED,,0,4131548,Mental health problem,EVENT,,,1613550360871,
ALLERGY349,Adverse reaction to Cephradine,0,,1.00,UNCHECKED,UNREVIEWED,,0,4096757,Cephradine adverse reaction,EVENT,,,1613550360872,
OLTR-U:U2,Test Request : Urine Culture & Sensitivity,0,,0.55,UNCHECKED,UNREVIEWED,,0,4170475,Culture sensitivity,EVENT,,,1613550360875,
ALLERGY9.1.1.2,Adverse reaction to Parenteral Iron Therapy,0,,0.70,UNCHECKED,UNREVIEWED,,0,4329330,Adverse reaction to pectin,EVENT,,,1613550360875,
OLTR-INF,Test Request : Intrinsic Factor Abs,0,,0.57,UNCHECKED,UNREVIEWED,,0,1380472,intrinsic factor,EVENT,,,1613550360879,
EMISNQRE537,Refer to tier 2 (specialist) podiatry,0,,0.55,UNCHECKED,UNREVIEWED,,0,4141690,Referral to podiatry service,EVENT,,,1613550360879,
OLTR-G2,Test Request : Genital - (Older than 65 yrs),0,,0.36,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360879,
EMISNQIM15,Impaired glucose regulation care pathway,0,,0.61,UNCHECKED,UNREVIEWED,,0,46284195,Impaired glucose regulation monitoring invitation,EVENT,,,1613550360880,
EMISQAC1,Ace inhibitor contraindicated,0,,0.76,UNCHECKED,UNREVIEWED,,0,42539487,Angiotensin-converting enzyme inhibitor,EVENT,,,1613550360881,
OLTR-CIAMS,Test Request : CT Internal Auditory Meatii,0,,0.61,UNCHECKED,UNREVIEWED,,0,4267855,Structure of internal acoustic meatus of temporal bone,EVENT,,,1613550360882,
HNG0628,[RFC] Post other day surgery,0,,0.57,UNCHECKED,UNREVIEWED,,0,3051645,Fingering [RFC],EVENT,,,1613550360883,
OLTR-44Cd.,Test Request : Bld thiopur methtransfase lev,0,,0.41,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360883,
ALLERGY3491,Adverse reaction to Piriton,0,,0.81,UNCHECKED,UNREVIEWED,,0,4329330,Adverse reaction to pectin,EVENT,,,1613550360883,
EMISNQMI3,Minor surgery postoperative complication - keloid scar,0,,0.58,UNCHECKED,UNREVIEWED,,0,4300243,Postoperative complication,EVENT,,,1613550360885,
OLTR-INF:INF,Test Request : Semen infertility,0,,0.55,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360885,
EMISNQRE542,Referred by acute hospital,0,,0.73,UNCHECKED,UNREVIEWED,,0,4085801,Referred by hospital doctor,EVENT,,,1613550360886,
OLTR-G201,Test Request : Barley Pollen RAST,0,,0.62,UNCHECKED,UNREVIEWED,,0,46272367,Barley pollen,EVENT,,,1613550360887,
OLTR-U:UC,Test Request : Urine Catheter/Conveen (iLAB),0,,0.38,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360888,
HNG0629,[RFC] Post general surgery,0,,0.61,UNCHECKED,UNREVIEWED,,0,3051645,Fingering [RFC],EVENT,,,1613550360888,
OLTR-44Cm.,Test Request : Serum tryptase level,0,,0.70,UNCHECKED,UNREVIEWED,,0,37398518,Serum tryptase level,EVENT,,,1613550360888,
EMISNQMI35,Misuse of Fentanyl,0,,0.64,UNCHECKED,UNREVIEWED,,0,36308472,Fentanyl,EVENT,,,1613550360888,
HNG0630,[RFC] Other,0,,0.75,UNCHECKED,UNREVIEWED,,0,3049362,Sit [RFC],EVENT,,,1613550360889,
ALLERGY9.1.5,Adverse reaction to Prescribing In G6Pd Deficiency,0,,0.66,UNCHECKED,UNREVIEWED,,0,4269764,Glucose-6-phosphate dehydrogenase deficiency anemia,EVENT,,,1613550360889,
ALLERGY3493,Adverse reaction to Plaquenil,0,,0.70,UNCHECKED,UNREVIEWED,,0,4329330,Adverse reaction to pectin,EVENT,,,1613550360890,
OLTR-CIC1,Test Request : Ciclosporin (Tandem Mass Spec),0,,0.42,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360890,
EMISNQIM16,Impaired glucose regulation care pathway declined,0,,0.63,UNCHECKED,UNREVIEWED,,0,44810038,Integrated care pathway declined,EVENT,,,1613550360890,
EMISNQRE544,Referred by acute assessment unit,0,,0.78,UNCHECKED,UNREVIEWED,,0,44802545,Referral to acute medical assessment unit,EVENT,,,1613550360891,
HNG0631,[RFC] Not applicable,0,,0.62,UNCHECKED,UNREVIEWED,,0,3049362,Sit [RFC],EVENT,,,1613550360891,
OLTR-U:UM,Test Request : Mid Stream Urine (iLAB),0,,0.46,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360892,
OLTR-INF:SEM::SEM::INF1,Test Request : Semen for Infertility investigations,0,,0.63,UNCHECKED,UNREVIEWED,,0,4064603,Investigations for male infertility,EVENT,,,1613550360892,
OLTR-G2H,Test Request : Glucose tolerance test 2Hr sample,0,,0.51,UNCHECKED,UNREVIEWED,,0,4012477,Glucose tolerance test,EVENT,,,1613550360893,
EMISQAD1,Administration of medication by syringe driver,0,,0.73,UNCHECKED,UNREVIEWED,,0,4088217,Administration of medication,EVENT,,,1613550360894,
HNG0632,[RFC] Frail elderly people,0,,0.59,UNCHECKED,UNREVIEWED,,0,4232739,Frail elderly,EVENT,,,1613550360895,
ALLERGY3494NEMIS,Adverse reaction to Germoloids,0,,0.67,UNCHECKED,UNREVIEWED,,0,4095980,Gallamine adverse reaction,EVENT,,,1613550360895,
EMISNQIM17,Impact of significant event,0,,0.78,UNCHECKED,UNREVIEWED,,0,44805886,Resolution of significant event,EVENT,,,1613550360896,
OLTR-CIF,Test Request : Calprotectin (Faeces),0,,0.48,UNCHECKED,UNREVIEWED,,0,37399113,Faecal calprotectin content,EVENT,,,1613550360896,
OLTR-44D..,Test Request : Liver function tests - general,0,,0.77,INVALID_TARGET,UNREVIEWED,,0,0,Unmapped,EVENT,Invalid existing target: 4158182,,0,
ALLERGY9.2.1.1,Adverse reaction to Potassium Salts,0,,0.78,UNCHECKED,UNREVIEWED,,0,4164419,Potassium adverse reaction,EVENT,,,1613550360898,
OLTR-INFE,Test Request : Hormone Profile,0,,0.57,UNCHECKED,UNREVIEWED,,0,4216165,Test request,EVENT,,,1613550360898,
