sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
XaJQv,British or mixed British - ethnic category 2001 census,98,,0.0,UNCHECKED,0,
Xa1kG,Did not attend,92,,0.0,UNCHECKED,0,
Xa1cI,Follow-up consultation,92,,0.0,UNCHECKED,0,
Ua0tm,Pathology,90,,0.0,UNCHECKED,0,
XaIeq,Asthma annual review,90,,0.0,UNCHECKED,0,
XE2q4,Serum inorganic phosphate level,85,,0.0,APPROVED,37392175,
XaZ0d,Seasonal influenza vaccination,85,,0.0,UNCHECKED,0,
XaXbX,Implied consent for core Summary Care Record dataset upload,85,,0.0,UNCHECKED,0,
Xa041,Waist circumference,83,,0.0,UNCHECKED,0,
Xab9D,Informing patient of named accountable general practitioner,82,,0.0,UNCHECKED,0,
XaG5t,Main spoken language English,81,,0.0,UNCHECKED,0,
X74UV,Blood sampling,78,,0.0,UNCHECKED,0,
X771i,AST serum level,77,,0.0,APPROVED,37392189,
X76tc,Packed cell volume,75,,0.0,APPROVED,37393840,
Ub173,Alcohol units per week,73,,0.0,UNCHECKED,0,
X772z,Blood glucose level,72,,0.0,APPROVED,37399654,
XE2eI,Urine albumin level,72,,0.0,APPROVED,37392374,
XE1gy,Patient's condition improved,70,,0.0,UNCHECKED,0,
XE2q1,Serum chloride level,69,,0.0,APPROVED,37392173,
XE0hs,Hormone replacement therapy,68,,0.0,UNCHECKED,0,
XE2q2,Serum bicarbonate level,64,,0.0,APPROVED,37398477,
XaRBQ,NHS Health Check completed,62,,0.0,UNCHECKED,0,
XaFsZ,Framingham coronary heart disease 10 year risk score,59,,0.0,UNCHECKED,0,
XE25C,Prostate-specific antigen level,59,,0.0,APPROVED,37398806,
XaMza,Bowel cancer screening programme,58,,0.0,UNCHECKED,0,
XaBYn,Letter encounter,56,,0.0,UNCHECKED,0,
XM1YA,Hypertension monitoring,55,,0.0,UNCHECKED,0,
XaIf8,Urine leucocyte test = negative,52,,0.0,UNCHECKED,0,
XE2wt,Expected peak flow rate,51,,0.0,UNCHECKED,0,
XaEYo,Urine nitrite negative,51,,0.0,UNCHECKED,0,
XaFwD,White British,50,,0.0,UNCHECKED,0,
XaIhQ,Scanned document,50,,0.0,UNCHECKED,0,
XaEXO,Clotting screening test,50,,0.0,APPROVED,37397798,
XE0oq,Cigarette smoker,49,,0.0,UNCHECKED,0,
Xa0wt,Low back pain,49,,0.0,UNCHECKED,0,
XaFsr,Statin prophylaxis,48,,0.0,UNCHECKED,0,
XM1Tt,Letter from consultant,46,,0.0,UNCHECKED,0,
XE1TA,Warfarin monitoring,45,,0.0,UNCHECKED,0,
XaIfN,Seborrhoeic keratosis,45,,0.0,UNCHECKED,0,
XE0Xs,Chest infection NOS,44,,0.0,UNCHECKED,0,
Xabpk,Serum adjusted calcium concentration,44,,0.0,APPROVED,45770721,
Ub0oq,Non-smoker,44,,0.0,UNCHECKED,0,
XE2NM,Did not attend - no reason,43,,0.0,UNCHECKED,0,
XaFqt,Suspected UTI,43,,0.0,UNCHECKED,0,
XaPP8,General practice physical activity questionnaire physical activity index: inactive,42,,0.0,UNCHECKED,0,
XaFqz,Discharge summary,42,,0.0,UNCHECKED,0,
XaPjx,Brief intervention for physical activity completed,41,,0.0,UNCHECKED,0,
XE2Nb,Asthma monitoring check done,41,,0.0,UNCHECKED,0,
Ub1tI,Cigarette consumption,41,,0.0,UNCHECKED,0,
XabE1,Serum non high density lipoprotein cholesterol level,40,,0.0,APPROVED,37392605,
XaKTi,Liquid based cervical cytology screening,40,,0.0,UNCHECKED,0,
XE2wy,Thyroid stimulating hormone level,40,,0.0,APPROVED,37394134,
XE25R,Blood urea/renal function,38,,0.0,APPROVED,37398780,
XaRBT,NHS Health Check invitation first letter,38,,0.0,UNCHECKED,0,
XaJKW,Patient understands why taking all medication,37,,0.0,UNCHECKED,0,
XaPBq,QRISK cardiovascular disease 10 year risk score,37,,0.0,UNCHECKED,0,
XaEFL,Expected peak expiratory flow rate,37,,0.0,UNCHECKED,0,
XaIvw,"Urinary microscopy, culture and sensitivities",36,,0.0,APPROVED,37399041,
XE2Zq,Haematocrit - PCV level,36,,0.0,APPROVED,37393840,
XE26k,Microbiology,36,,0.0,APPROVED,37393838,
XaIp4,Calculated LDL cholesterol level,35,,0.0,APPROVED,37393245,
XaES5,Serum creatine kinase level,35,,0.0,APPROVED,37392193,
XaJVi,Blood pressure recorded by patient at home,34,,0.0,UNCHECKED,0,
XaIyE,Hypertension annual review,34,,0.0,UNCHECKED,0,
XE0o3,No FH: Ischaemic heart disease,33,,0.0,UNCHECKED,0,
XE2K8,Minor surgery done - injection,33,,0.0,UNCHECKED,0,
XaKXf,Prescription collected by pharmacy,33,,0.0,UNCHECKED,0,
XaIyU,Mental health review,32,,0.0,UNCHECKED,0,
XaIeG,10g monofilament sensation L foot normal,32,,0.0,UNCHECKED,0,
XaIeF,10g monofilament sensation R foot normal,32,,0.0,UNCHECKED,0,
XaKbt,Predicted peak expiratory flow rate using EN 13826 standard,32,,0.0,UNCHECKED,0,
XaFvp,Patient advised about alcohol,32,,0.0,UNCHECKED,0,
X71Ez,Advice,32,,0.0,UNCHECKED,0,
XE2uV,Ischaemic heart disease,32,,0.0,UNCHECKED,0,
XM0ls,Serum urate level,31,,0.0,APPROVED,37392201,
XE2mR,Percentage monocyte count,31,,0.0,APPROVED,37393321,
XE1TY,Breast neoplasm screening,31,,0.0,UNCHECKED,0,
X77Qu,Forced expired volume in 1 second,31,,0.0,UNCHECKED,0,
XE277,Cervical smear result,31,,0.0,UNCHECKED,0,
XE0oa,Married,30,,0.0,UNCHECKED,0,
XE2mQ,Percentage lymphocyte count,30,,0.0,APPROVED,37399254,
XaORP,Alcohol use disorder identification test consumption questionnaire,30,,0.0,UNCHECKED,0,
XE2mS,Percentage basophil count,30,,0.0,APPROVED,37398606,
XE2mP,Percentage neutrophil count,30,,0.0,APPROVED,37398605,
XE25q,Urine microscopy: pus cells,29,,0.0,APPROVED,37395028,
XaIVl,Medication review without patient,29,,0.0,UNCHECKED,0,
XaCJj,Percentage eosinophil count,29,,0.0,APPROVED,37399255,
XE2bq,Large unstained cells,28,,0.0,APPROVED,37397927,
XaIvz,"Mycology microscopy, culture and sensitivities",28,,0.0,APPROVED,37398072,
XaCmK,Urine microscopy: red cells,28,,0.0,APPROVED,37394776,
Ua1ui,Result,28,,0.0,UNCHECKED,0,
Xa0wx,Knee pain,28,,0.0,UNCHECKED,0,
XaKSX,Prescription collected by patient,28,,0.0,UNCHECKED,0,
XE1FE,"Backache, unspecified",28,,0.0,UNCHECKED,0,
XE1DV,Osteoarthritis,28,,0.0,UNCHECKED,0,
XaIeL,O/E - Left diabetic foot at low risk,28,,0.0,UNCHECKED,0,
XaIBJ,Influenza vaccination invitation letter sent,27,,0.0,UNCHECKED,0,
XaIr1,Item held as scanned document,27,,0.0,UNCHECKED,0,
XE0qn,Cough,27,,0.0,UNCHECKED,0,
XaINa,Asthma never causes daytime symptoms,27,,0.0,UNCHECKED,0,
XE2sW,Microscopy,27,,0.0,APPROVED,37397944,
XaIge,Telephone consultation,27,,0.0,UNCHECKED,0,
XaOwL,Choose and book referral,27,,0.0,UNCHECKED,0,
XaLHL,Influenza vaccination invitation first letter sent,27,,0.0,UNCHECKED,0,
XaKd4,Cervical cytology test,27,,0.0,APPROVED,37393701,
X770D,Oxygen saturation at periphery,27,,0.0,UNCHECKED,0,
X75s9,Shoulder pain,27,,0.0,UNCHECKED,0,
XaMwb,Alcohol screen - alcohol use disorder identification test consumption questions completed,26,,0.0,UNCHECKED,0,
XaCIx,Diet good,26,,0.0,UNCHECKED,0,
XaJIt,Lifestyle advice regarding exercise,26,,0.0,UNCHECKED,0,
XaIeH,O/E - Right diabetic foot at low risk,26,,0.0,UNCHECKED,0,
XE0Xq,Upper respiratory infection NOS,26,,0.0,UNCHECKED,0,
XaJKJ,Drug side effects checked,26,,0.0,UNCHECKED,0,
XaINb,Asthma causes daytime symptoms 1 to 2 times per month,25,,0.0,UNCHECKED,0,
XaXX5,General practice physical activity questionnaire,25,,0.0,UNCHECKED,0,
XaG0J,Cytology laboratory test,25,,0.0,APPROVED,37399605,
XaINJ,Blood pressure monitoring,24,,0.0,UNCHECKED,0,
XaQEa,White British - ethnic category 2001 census,24,,0.0,UNCHECKED,0,
X772q,Haemoglobin A1c level,24,,0.0,APPROVED,37392407,
XaPPE,General practice physical activity questionnaire physical activity index: active,24,,0.0,UNCHECKED,0,
X77bO,Urine microscopy,24,,0.0,APPROVED,37393267,
XE1F4,Neck pain,24,,0.0,UNCHECKED,0,
XE2dy,Plasma C-reactive protein level,24,,0.0,APPROVED,37398420,
X77RW,Serial peak expiratory flow rate,23,,0.0,UNCHECKED,0,
XaEis,Chaperone refused,23,,0.0,UNCHECKED,0,
XaEFz,Percent predicted FEV1,23,,0.0,UNCHECKED,0,
XE25Z,Glucose tolerance test,23,,0.0,APPROVED,37392565,
XaQaV,Lifestyle advice regarding hypertension,23,,0.0,UNCHECKED,0,
Xa1qL,Consultation,23,,0.0,UNCHECKED,0,
XaIg6,Comment note,22,,0.0,UNCHECKED,0,
XE0as,Irritable bowel syndrome,22,,0.0,UNCHECKED,0,
XE0e0,Infection of urinary tract,22,,0.0,UNCHECKED,0,
XaIfK,Asthma medication review,22,,0.0,UNCHECKED,0,
XaINi,Number of times bronchodilator used in one week,22,,0.0,UNCHECKED,0,
XM0lx,Serum follicle stimulating hormone level,22,,0.0,APPROVED,37393901,
XE0rh,Headache,21,,0.0,UNCHECKED,0,
XE2NG,Seen in own home,21,,0.0,UNCHECKED,0,
XE2J7,FP1001 signed,21,,0.0,UNCHECKED,0,
Xa02q,Skin lesion,21,,0.0,UNCHECKED,0,
XE1Sf,Infectious disease : prevention/control,21,,0.0,UNCHECKED,0,
XaJIr,Lifestyle advice regarding alcohol,21,,0.0,UNCHECKED,0,
XaIrd,Epithelial cell count,21,,0.0,APPROVED,37397874,
X7ADc,Mid-stream urine sample,21,,0.0,UNCHECKED,0,
X40J5,Type II diabetes mellitus,21,,0.0,UNCHECKED,0,
XaPf6,No response to bowel cancer screening programme invitation,21,,0.0,APPROVED,44793084,
XaKEy,Bacterial culture and sensitivity,20,,0.0,APPROVED,37393562,
XaJe9,Serum total cholesterol level,20,,0.0,APPROVED,37397989,
XE255,Rheumatoid factor level,20,,0.0,APPROVED,37397812,
XaQaU,Lifestyle advice regarding diet,20,,0.0,UNCHECKED,0,
XE0re,Depressed mood,19,,0.0,UNCHECKED,0,
XaFsq,Beta blocker prophylaxis,19,,0.0,UNCHECKED,0,
XE2eG,Urine protein level,18,,0.0,APPROVED,37394227,
XE0sE,Sore throat symptom,18,,0.0,UNCHECKED,0,
XE078,Papanicolau smear NEC,18,,0.0,UNCHECKED,0,
XaN3z,Non high density lipoprotein cholesterol level,18,,0.0,APPROVED,37394334,
9N2U.,Seen by optometrist,18,,0.0,UNCHECKED,0,
XaIRE,10g monofilament sensation present,18,,0.0,UNCHECKED,0,
XaQmV,No family history of asthma,17,,0.0,UNCHECKED,0,
XE0Xn,Acute pharyngitis,17,,0.0,UNCHECKED,0,
XaIet,Chronic obstructive pulmonary disease annual review,17,,0.0,UNCHECKED,0,
X75rv,Hip pain,17,,0.0,UNCHECKED,0,
XaIUl,MRC Breathlessness Scale: grade 2,17,,0.0,UNCHECKED,0,
XaKCr,Joint British Societies cardiovascular disease risk less than ten percent over next ten years,17,,0.0,UNCHECKED,0,
XM1Xx,Aspirin prophylaxis - IHD,17,,0.0,UNCHECKED,0,
XaKl6,Consent given for minor surgery procedure,17,,0.0,UNCHECKED,0,
XaKqd,Letter received,17,,0.0,UNCHECKED,0,
XaI9h,Coronary heart disease annual review,17,,0.0,UNCHECKED,0,
XaZ08,Has authorisation for medication under PSD (patient specific direction),17,,0.0,UNCHECKED,0,
XaBZO,Intramuscular injection of vitamin B12,17,,0.0,UNCHECKED,0,
XaX1E,"eMED3 (2010) new statement issued, not fit for work",17,,0.0,UNCHECKED,0,
XaLDN,Patient health questionnaire (PHQ-9) score,17,,0.0,UNCHECKED,0,
XaIvK,Coronary heart disease monitoring 1st letter,16,,0.0,UNCHECKED,0,
XaJW3,Referral to musculoskeletal clinic,16,,0.0,UNCHECKED,0,
XE2e7,Serum vitamin D level,16,,0.0,APPROVED,37394381,
XaIvd,Telephone triage encounter,16,,0.0,UNCHECKED,0,
XabAM,Serum prostate specific antigen level,16,,0.0,APPROVED,37392151,
XE2qu,Total bilirubin level,16,,0.0,APPROVED,37394117,
XaFss,ACE inhibitor prophylaxis,16,,0.0,UNCHECKED,0,
XE16X,Acute conjunctivitis,16,,0.0,UNCHECKED,0,
XaEFM,Peak flow rate,16,,0.0,UNCHECKED,0,
XaIgc,Telephone call to a patient,16,,0.0,UNCHECKED,0,
XaJIs,Lifestyle advice regarding smoking,16,,0.0,UNCHECKED,0,
XaLHI,Chronic kidney disease stage 3,16,,0.0,UNCHECKED,0,
Xa1zl,Retinal photography,16,,0.0,UNCHECKED,0,
XE2rW,Radiology/physics in medicine,16,,0.0,UNCHECKED,0,
Xa1bv,Ex-cigarette smoker,16,,0.0,UNCHECKED,0,
XE0Xm,Acute sinusitis,16,,0.0,UNCHECKED,0,
X77Yh,Haematology test,15,,0.0,APPROVED,37397797,
XM0lv,Serum LH level,15,,0.0,APPROVED,37393899,
XE2mq,Fasting blood glucose level,15,,0.0,APPROVED,37398242,
X700S,Anterior knee pain,15,,0.0,UNCHECKED,0,
XaJKn,Drug compliance checked,15,,0.0,UNCHECKED,0,
XaJgg,Clinical management plan agreed,15,,0.0,UNCHECKED,0,
XE0qk,Tired all the time,15,,0.0,UNCHECKED,0,
XaC2s,Anti-nuclear factor level,15,,0.0,APPROVED,37398972,
XaEFF,Referral to breast clinic,15,,0.0,UNCHECKED,0,
X75sD,Foot pain,15,,0.0,UNCHECKED,0,
X77bL,Blood film microscopy,15,,0.0,APPROVED,37393839,
XE0Xr,Acute bronchitis,15,,0.0,UNCHECKED,0,
X00Sb,Mixed anxiety and depressive disorder,15,,0.0,UNCHECKED,0,
XE2x9,Herpes zoster infection,15,,0.0,UNCHECKED,0,
XaZ0i,Seasonal influenza vaccination declined,14,,0.0,UNCHECKED,0,
XaK2I,Phlebotomy generated from secondary care done by practice,14,,0.0,UNCHECKED,0,
Ub0lK,Occasional drinker,14,,0.0,UNCHECKED,0,
XE1FC,Sciatica,14,,0.0,UNCHECKED,0,
XE1PZ,12 lead ECG,14,,0.0,UNCHECKED,0,
XaEOb,Helicobacter pylori antibody level,14,,0.0,APPROVED,37392811,
XaIu5,Asthma monitoring by nurse,14,,0.0,UNCHECKED,0,
X501E,Cellulitis of leg,14,,0.0,UNCHECKED,0,
XE2xr,Liver function tests - general,14,,0.0,UNCHECKED,0,
X70lf,Ultrasound scan,14,,0.0,UNCHECKED,0,
XaF6J,Minor surgery done,14,,0.0,UNCHECKED,0,
XM0Ch,C/O - cough,14,,0.0,UNCHECKED,0,
X703j,Cervical spondylosis,14,,0.0,UNCHECKED,0,
XaN0k,Seen in walk in centre,13,,0.0,UNCHECKED,0,
XaRFi,Patient has a written asthma personal action plan,13,,0.0,UNCHECKED,0,
XaQmT,Percentage of predicted forced vital capacity,13,,0.0,UNCHECKED,0,
XaIyc,Cancer care review,13,,0.0,UNCHECKED,0,
XE1TS,Screening,13,,0.0,UNCHECKED,0,
XaIxR,FEV1 after bronchodilation,13,,0.0,UNCHECKED,0,
XE2bw,Urine microalbumin level,13,,0.0,APPROVED,37392915,
XE2s5,Examination / Signs,13,,0.0,UNCHECKED,0,
XaDvJ,Aspirin prophylaxis,13,,0.0,UNCHECKED,0,
XaJr3,Mental health medication review,13,,0.0,UNCHECKED,0,
XM18N,Drug therapy discontinued,13,,0.0,UNCHECKED,0,
XE1Av,Eczema NOS,13,,0.0,UNCHECKED,0,
Xa9CV,Contact dermatitis,13,,0.0,UNCHECKED,0,
XaEFy,FEV1/FVC percent,13,,0.0,UNCHECKED,0,
XE0oF,FH: Cardiovascular disease,13,,0.0,UNCHECKED,0,
XE1EZ,Shoulder joint pain,13,,0.0,UNCHECKED,0,
XE25Q,Aspartate transaminase level,12,,0.0,UNCHECKED,37394375,
XaEHe,Peak expiratory flow rate before bronchodilation,12,,0.0,UNCHECKED,0,
XE0oH,FH: Ischaemic heart disease at greater than 60 years,12,,0.0,UNCHECKED,0,
XE0hr,Salicylate prophylaxis,12,,0.0,UNCHECKED,0,
XaPPD,General practice physical activity questionnaire physical activity index: moderately active,12,,0.0,UNCHECKED,0,
XE2bu,Fasting blood lipids,12,,0.0,APPROVED,37398716,
XaJmG,Serum protein profile,12,,0.0,APPROVED,37393062,
XaK26,Repeat dispensing at designated pharmacy,12,,0.0,UNCHECKED,0,
XM1Yn,Influenza immunisation advised,12,,0.0,UNCHECKED,0,
XE0rD,Constipation,12,,0.0,UNCHECKED,0,
XaFsi,Advice about taking aspirin,12,,0.0,UNCHECKED,0,
XaEDc,Emergency contraception advice,12,,0.0,UNCHECKED,0,
XM0aD,Alcohol use disorders identification test,12,,0.0,UNCHECKED,0,
XaIyD,Hypertension six month review,12,,0.0,UNCHECKED,0,
Ua1q5,Bereavement,11,,0.0,UNCHECKED,0,
XE2rH,O/E patient well,11,,0.0,UNCHECKED,0,
XE0qv,Palpitations,11,,0.0,UNCHECKED,0,
XaBLn,Self-monitoring of blood glucose,11,,0.0,UNCHECKED,0,
XM1Xb,Asthma monitoring,11,,0.0,UNCHECKED,0,
XE2NI,Seen in dermatology clinic,11,,0.0,UNCHECKED,0,
XaJCN,Medication review of medical notes,11,,0.0,UNCHECKED,0,
XaLHF,Patient offered choice of provider,11,,0.0,UNCHECKED,0,
XE0iP,Other referral,11,,0.0,UNCHECKED,0,
XE0iT,Trauma self-referral,11,,0.0,UNCHECKED,0,
XaJJw,Minor surg done - cryotherapy,11,,0.0,UNCHECKED,0,
XaADJ,Advice about weight,11,,0.0,UNCHECKED,0,
XaIwB,"Ear nose and throat microscopy, culture and sensitivities",11,,0.0,APPROVED,37398080,
XE0og,Tobacco smoking consumption,11,,0.0,UNCHECKED,0,
XaIzA,Sample microscopy : epithelial cells,11,,0.0,APPROVED,37399674,
XE2MB,Medical examinations/reports,11,,0.0,UNCHECKED,0,
XaBTb,Referral to orthopaedic surgeon,11,,0.0,UNCHECKED,0,
X70dI,Removal of sutures,11,,0.0,UNCHECKED,0,
XaR9z,NHS Health Check verbal invitation,11,,0.0,UNCHECKED,0,
XaIIj,Diabetic retinopathy screening,11,,0.0,UNCHECKED,0,
X771N,Urea and electrolyte observations,11,,0.0,UNCHECKED,0,
XaRBP,NHS Health Check indicated,11,,0.0,UNCHECKED,0,
XaQaG,Framingham [(CVD and/or CHD) (and/or score) (and/or calculator)],11,,0.0,UNCHECKED,0,
XE2aC,Acute tonsillitis,11,,0.0,UNCHECKED,0,
XaEES,Spacer device in use,11,,0.0,UNCHECKED,0,
XM1QH,Sinusitis,11,,0.0,UNCHECKED,0,
Xa9wt,Depo-provera injection given,11,,0.0,UNCHECKED,0,
XE0Ub,Hypertension,11,,0.0,UNCHECKED,0,
XE15g,Carpal tunnel syndrome,11,,0.0,UNCHECKED,0,
Xa8HD,On treatment for hypertension,10,,0.0,UNCHECKED,0,
XaIw1,"Genital microscopy, culture and sensitivities",10,,0.0,APPROVED,37397885,
XE1Qf,Pelvis X-ray,10,,0.0,UNCHECKED,0,
XaEER,Seen in vascular clinic,10,,0.0,UNCHECKED,0,
XaINh,Number of asthma exacerbations in past year,10,,0.0,UNCHECKED,0,
X78Uv,Benign melanocytic naevus of skin,10,,0.0,UNCHECKED,0,
X1004,Infection of lower respiratory tract,10,,0.0,UNCHECKED,0,
XaEMS,Urine protein/creatinine ratio,10,,0.0,APPROVED,37398786,
XaBLF,O/E - Vibration sense of right foot normal,10,,0.0,UNCHECKED,0,
XaE00,Bone densitometry,10,,0.0,UNCHECKED,0,
XaPl1,Cardiovascular disease risk assessment first letter,10,,0.0,UNCHECKED,0,
XaIqd,Pre-treatment serum cholesterol level,10,,0.0,UNCHECKED,0,
XA00w,Infected insect bite,10,,0.0,UNCHECKED,0,
Ub04e,Healthy diet,10,,0.0,UNCHECKED,0,
XaaLF,Aspartate aminotransferase/alanine aminotransferase ratio,10,,0.0,APPROVED,37392316,
XaIPm,Seen by retinal screener,10,,0.0,UNCHECKED,0,
XaCJK,Expected FEV1,10,,0.0,UNCHECKED,0,
XM1Yc,Cholesterol screening,10,,0.0,UNCHECKED,0,
XaIIZ,Asthma daytime symptoms,10,,0.0,UNCHECKED,0,
XaNx3,Primary prevention of cardiovascular disease,10,,0.0,UNCHECKED,0,
XE11S,Pure hypercholesterolaemia,10,,0.0,UNCHECKED,0,
XE140,Anaemia unspecified,10,,0.0,UNCHECKED,0,
XaKHd,Health education - weight management,10,,0.0,UNCHECKED,0,
XaZyY,Calcium adjusted level,10,,0.0,APPROVED,37398293,
XE0oI,FH: Myocardial infarction,10,,0.0,UNCHECKED,0,
XaJKb,Able to use medication,10,,0.0,UNCHECKED,0,
XaQyJ,At risk of dementia,10,,0.0,UNCHECKED,0,
XE1TZ,Large bowel neoplasm screening,9,,0.0,UNCHECKED,0,
XaBZE,Urine test for glucose,9,,0.0,UNCHECKED,37399119,
XacUK,Estimated glomerular filtration rate using creatinine Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres,9,,0.0,UNCHECKED,37393011,
XE2eC,Plasma total protein level,9,,0.0,UNCHECKED,37392560,
XaIIM,Standard care programme approach level,9,,0.0,UNCHECKED,0,
XaDsm,Blood haematinic levels,9,,0.0,UNCHECKED,37393633,
XaIgO,Referral letter,9,,0.0,UNCHECKED,0,
Xa83O,US scan of pelvis,9,,0.0,UNCHECKED,0,
XaCFJ,Mammography not attended,9,,0.0,UNCHECKED,0,
XaAga,Referral to colorectal surgeon,9,,0.0,UNCHECKED,0,
XaZ0l,Consent given for seasonal influenza vaccination,9,,0.0,UNCHECKED,0,
XaX3q,Type II diabetic dietary review,9,,0.0,UNCHECKED,0,
XaQW2,Self-referral to accident and emergency department,9,,0.0,UNCHECKED,0,
XE1TU,Ca cervix - screening done,9,,0.0,UNCHECKED,0,
XE0sP,Patient feels well,9,,0.0,UNCHECKED,0,
XS9U4,Partial thromboplastin time activated,9,,0.0,UNCHECKED,44809202,
XaBLH,O/E - Vibration sense of left foot normal,9,,0.0,UNCHECKED,0,
XE25o,Urine exam. - general,9,,0.0,UNCHECKED,0,
XaJHr,Has shown no side effects from medication,9,,0.0,UNCHECKED,0,
XaMGF,Dementia annual review,9,,0.0,UNCHECKED,0,
XM1Tw,Incoming mail,9,,0.0,UNCHECKED,0,
X77c1,Echocardiography,9,,0.0,UNCHECKED,0,
XE0IN,Dressing of skin or wound,9,,0.0,UNCHECKED,0,
XaKFs,Verbal consent for examination,9,,0.0,UNCHECKED,0,
XaIUi,MRC Breathlessness Scale: grade 1,9,,0.0,UNCHECKED,0,
XE17B,Otitis externa NOS,9,,0.0,UNCHECKED,0,
XaJ7s,Seizure free >12 months,9,,0.0,UNCHECKED,0,
XE2QS,Delivery normal,9,,0.0,UNCHECKED,0,
X773r,Heart rate,9,,0.0,UNCHECKED,0,
XaXeg,Post bronchodilator spirometry,9,,0.0,UNCHECKED,0,
