field_id,field_name,type_name,encoding_name,unit_name,category_name,strata_name,stability_name,n_values,item_count,num_participants,n_visits,n_indices,notes
2794,Age started oral contraceptive pill,Integer,g22.i.answer.a.D7.ans,years,Female-specific factors,Primary,Complete,2,251487,220794,4,1,"ACE touchscreen question ""About how old were you when you first went on the contraceptive pill?""<p>The following checks were performed:<ul><li>If answer < 5 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 50 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F2794~ was collected from women who indicated that they had taken the contraceptive pill, as defined by their answers to ~F2784~"
2804,Age when last used oral contraceptive pill,Integer,g22.i.answer.a.FH5B.ans,years,Female-specific factors,Primary,Complete,3,251045,220476,4,1,"ACE touchscreen question ""How old were you when you last used the contraceptive pill?""<p>The following checks were performed:<ul><li>If answer < 5 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 60 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are currently taking the pill select Still taking the pill.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F2804~ was collected from women who indicated that they had taken the contraceptive pill, as defined by their answers to ~F2784~"
2814,Ever used hormone-replacement therapy (HRT),Categorical (single),g22.i.answer.a.S2A.ans/main,,Female-specific factors,Primary,Complete,4,309808,272917,4,1,"ACE touchscreen question ""Have you ever used hormone replacement therapy (HRT)?"""
2824,Age at hysterectomy,Integer,g22.i.answer.a.D7.ans,years,Female-specific factors,Primary,Complete,2,57768,51896,4,1,"ACE touchscreen question ""How old were you when you had your hysterectomy?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 35 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li><li>If answer < Age when had the only child or < Age when had the last child then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F2824~ was collected from women who indicated they have had a hysterectomy (womb removed), as defined by their answers to ~F2724~ and ~F2724~"
2834,Bilateral oophorectomy (both ovaries removed),Categorical (single),g22.i.answer.a.FH9.ans,,Female-specific factors,Primary,Complete,4,309808,272917,4,1,"ACE touchscreen question ""Have you had BOTH ovaries removed?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Only enter Yes if you have had both ovaries removed.<br>If you have only had one ovary removed you will be able<br>to let the interviewer know later in the visit.<br>If you are unsure of whether both ovaries have been<br>removed, select Do not know.<br></i></td></tr></table>"
2844,Had other major operations,Categorical (single),g22.i.answer.a.OP1M.ans,,Operations,Primary,Complete,4,309808,272917,4,1,"ACE touchscreen question ""Have you had any other major operations? (for example, operations that required an overnight stay in hospital)""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure if you have had a 'major' operation<br>select Do not know and you will be asked about this by<br>an interviewer later during this visit.<br></i></td></tr></table> <br> The <i>other</i> refers to operations other than hysterectomy and bilateral oophorectomy."
2966,Age high blood pressure diagnosed,Integer,g22.i.answer.a.D7.ans,years,Medical conditions,Primary,Complete,2,153952,140589,4,1,"ACE touchscreen question ""What was your age when the high blood pressure was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F2966~ was collected from participants who indicated they were told by a doctor that they have had high blood pressure, as defined by their answers to ~F6150~"
2976,Age diabetes diagnosed,Integer,g22.i.answer.a.D7.ans,years,Medical conditions,Primary,Complete,2,29192,26989,4,1,"ACE touchscreen question ""What was your age when the diabetes was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F2976~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~"
2986,Started insulin within one year diagnosis of diabetes,Categorical (single),g22.i.answer.a.S2A.ans/main,,Medical conditions,Primary,Complete,4,29218,27014,4,1,"ACE touchscreen question ""Did you start insulin within one year of your diagnosis of diabetes?""<p>~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~"
3062,Forced vital capacity (FVC),Continuous,NOT-ENCODED,litres,Spirometry,Primary,Complete,,1415262,457514,4,3,FVC value calculated from blow
3063,Forced expiratory volume in 1-second (FEV1),Continuous,NOT-ENCODED,litres,Spirometry,Primary,Complete,,1415262,457514,4,3,FEV1 value calculated from blow
3064,Peak expiratory flow (PEF),Integer,NOT-ENCODED,litres/min,Spirometry,Primary,Complete,,1415262,457514,4,3,Peak expiratory flow during blow
3160,"Weight, manual entry",Continuous,NOT-ENCODED,Kg,Body size measures,Primary,Complete,,8707,8601,4,1,Weight (manual entry)
3536,Age started hormone-replacement therapy (HRT),Integer,g22.i.answer.a.D7.ans,years,Female-specific factors,Primary,Complete,2,118041,105788,4,1,"ACE touchscreen question ""How old were you when you first used HRT?""<p>The following checks were performed:<ul><li>If answer < 16 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 35 then participant asked to confirm</li><li>If answer > 65 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3536~ was collected from women who indicated that they had used HRT, as defined by their answers to ~F2814~"
3546,Age last used hormone-replacement therapy (HRT),Integer,g22.i.answer.a.FH6B.ans,years,Female-specific factors,Primary,Complete,3,118041,105788,4,1,"ACE touchscreen question ""How old were you when you last used HRT?""<p>The following checks were performed:<ul><li>If answer < 20 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 35 then participant asked to confirm</li><li>If answer > 65 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are currently using HRT select Still taking HRT.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3546~ was collected from women who indicated that they had used HRT, as defined by their answers to ~F2814~"
3786,Age asthma diagnosed,Integer,g22.i.answer.a.D7.ans,years,Medical conditions,Primary,Complete,2,65747,59162,4,1,"ACE touchscreen question ""What was your age when the asthma was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3786~ was collected from participants who indicated they were told by a doctor that they have had asthma, as defined by their answers to ~F6152~"
3894,Age heart attack diagnosed,Integer,g22.i.answer.a.D7.ans,years,Medical conditions,Primary,Complete,2,13191,12226,4,1,"ACE touchscreen question ""What was your age when the heart attack was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3894~ was collected from participants who indicated they were told by a doctor that they have had a heart attack, as defined by their answers to ~F6150~"
3992,Age emphysema/chronic bronchitis diagnosed,Integer,g22.i.answer.a.D7.ans,years,Medical conditions,Primary,Complete,2,9112,8819,4,1,"ACE touchscreen question ""What was your age when the emphysema/chronic bronchitis was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3992~ was collected from participants who indicated they were told by a doctor that they have had emphysema or chronic bronchitis, as defined by their answers to ~F6152~"
4012,"Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed",Integer,g22.i.answer.a.D7.ans,years,Medical conditions,Primary,Complete,2,11208,10472,4,1,"ACE touchscreen question ""What was your age when the blood clot in the leg (DVT) was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F4012~ was collected from participants who indicated they were told by a doctor that they have had a Blood clot in the leg (DVT) , as defined by their answers to ~F6152~"
4022,Age pulmonary embolism (blood clot in lung) diagnosed,Integer,g22.i.answer.a.D7.ans,years,Medical conditions,Primary,Complete,2,4687,4353,4,1,"ACE touchscreen question ""What was your age when the blood clot in the lung was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F4022~ was collected from participants who indicated they were told by a doctor that they have had a blood clot in the lung , as defined by their answers to ~F6152~"
4041,Gestational diabetes only,Categorical (single),g22.i.answer.a.L3A.ans/main,,Medical conditions,Primary,Complete,5,11738,10936,4,1,"ACE touchscreen question ""Did you only have diabetes during pregnancy?""<p>~F4041~ was collected from women who indicated that a doctor had told them they had diabetes, as defined by their answers to ~F2443~"
4056,Age stroke diagnosed,Integer,g22.i.answer.a.D7.ans,years,Medical conditions,Primary,Complete,2,8711,8216,4,1,"ACE touchscreen question ""What was your age when the stroke was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F4056~ was collected from participants who indicated they were told by a doctor that they have had a stroke, as defined by their answers to ~F6150~"
4079,"Diastolic blood pressure, automated reading",Integer,NOT-ENCODED,mmHg,Blood pressure,Primary,Complete,,1052519,475167,4,2,"Blood pressure, automated reading, diastolic. Two measures of blood pressure were taken a few moments apart. <p>Range returned by the Omron device is is 0-255"
4080,"Systolic blood pressure, automated reading",Integer,NOT-ENCODED,mmHg,Blood pressure,Primary,Complete,,1052489,475162,4,2,"Blood pressure, automated reading, systolic. Two measures of blood pressure were taken a few moments apart. <p> Range returned by the Omron device is is 0-255"
4194,Pulse rate,Integer,NOT-ENCODED,bpm,Arterial stiffness,Primary,Complete,,234837,207740,4,1,Pulse rate during arterial stiffness measurement
4689,Age glaucoma diagnosed,Integer,g22.i.answer.a.D7.ans,years,Eyesight,Primary,Complete,2,4722,4335,4,1,"ACE touchscreen question ""What was your age when glaucoma was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F4689~ was collected from participants who indicated they have glaucoma, as defined by their answers to ~F6148~"
4700,Age cataract diagnosed,Integer,g22.i.answer.a.D7.ans,years,Eyesight,Primary,Complete,2,16384,15177,4,1,"ACE touchscreen question ""What was your age when a cataract was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F4700~ was collected from participants who indicated they have cataract, as defined by their answers to ~F6148~"
20001,"Cancer code, self-reported",Categorical (multiple),Cancer,,Medical conditions,Derived,Complete,89,53317,45611,4,6,"Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."
20002,"Non-cancer illness code, self-reported",Categorical (multiple),Non-cancer Illness,,Medical conditions,Derived,Complete,474,1125842,385860,4,34,"Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"". <p> Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses."
20003,Treatment/medication code,Categorical (multiple),Treatments,,Medications,Primary,Complete,6745,1380303,372854,4,48,Code for treatment<p>Negative codes indicate free-text entry.
20004,Operation code,Categorical (multiple),Operation,,Operations,Derived,Complete,270,993531,398632,4,32,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable""."
20006,Interpolated Year when cancer first diagnosed,Continuous,event-time-exceptions,years,Medical conditions,Primary,Complete,2,53317,45611,4,6,"This is the interpolated time when the participant indicated the corresponding cancer was first diagnosed by a doctor, measured in years. <ul> <li>If the participant gave a calendar year, then the best-fit time is half-way through that year. For example if the year was given as 1970, then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is the date at which they were 30years+6months. <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>"
20007,Interpolated Age of participant when cancer first diagnosed,Continuous,event-time-exceptions,years,Medical conditions,Primary,Complete,2,53317,45611,4,6,"This is the interpolated time when the participant indicated the corresponding cancer was first diagnosed by a doctor, given as their estimated age. <ul> <li>If the participant gave a calendar year, then the best-fit time is their age at the mid-point of that year. For example if the year was given as 1970, and the participant was born on 1 April 1950, then their age on 1st July 1970 is 20.25</li> then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is 30.5 <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>"
20008,Interpolated Year when non-cancer illness first diagnosed,Continuous,event-time-exceptions,years,Medical conditions,Primary,Complete,2,1125831,385859,4,34,"This is the interpolated time when the participant indicated the corresponding condition was first diagnosed by a doctor, measured in years. <ul> <li>If the participant gave a calendar year, then the best-fit time is half-way through that year. For example if the year was given as 1970, then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is the date at which they were 30years+6months. <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>"
20009,Interpolated Age of participant when non-cancer illness first diagnosed,Continuous,event-time-exceptions,years,Medical conditions,Primary,Complete,2,1125831,385859,4,34,"This is the interpolated time when the participant indicated the corresponding condition was first diagnosed by a doctor, given as their estimated age. <ul> <li>If the participant gave a calendar year, then the best-fit time is their age at the mid-point of that year. For example if the year was given as 1970, and the participant was born on 1 April 1950, then their age on 1st July 1970 is 20.25</li> then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is 30.5 <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>"
20010,Interpolated Year when operation took place,Continuous,event-time-exceptions,years,Operations,Primary,Complete,2,993527,398630,4,32,This is the year when the participant indicated the operation took place.
30000,White blood cell (leukocyte) count,Continuous,NOT-ENCODED,10^9 cells/Litre,Blood count,Primary,Complete,,503445,479348,3,1,"Result of ""White Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. White blood count is the number of leukocytes. <p> Analyser operating range was 0 to 9x10^11 cells/Litre. <p> Typical reference range is 3.5x10^9 to 9.6x10^9 cells/Litre."
30001,White blood cell (leukocyte) count freeze-thaw cycles,Integer,NOT-ENCODED,,Blood count processing,Auxiliary,Complete,,474895,474895,1,1,"Number of freeze-thaw cycles sample went through before ""White Blood Cell Count"" assay was performed (blood sample obtained from UK Biobank assessment centre visit)."
30002,White blood cell (leukocyte) count acquisition time,Time,NOT-ENCODED,,Blood count processing,Auxiliary,Complete,,503445,479348,3,1,"Original collection time of sample used for ""White Blood Cell Count"" assay (blood sample obtained from UK Biobank assessment centre visit)."
30003,White blood cell (leukocyte) count device ID,Text,NOT-ENCODED,,Blood count processing,Auxiliary,Complete,,503445,479348,3,1,Identifier for device used to measure White blood cell (leukocyte) count
30004,White blood cell (leukocyte) count acquisition route,Categorical (single),LIMS data transfer route,,Blood count processing,Auxiliary,Complete,3,503445,479348,3,1,Route whereby data for White blood cell (leukocyte) count was transferred from analyser device to UK Biobank core LIMS database.
