sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
12676,Peripheral pulse pressure during PWA,85413,,0.00,UNCHECKED,UNREVIEWED,,0,8876,millimeter mercury column,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12677,Central systolic blood pressure during PWA,85422,,0.00,UNCHECKED,UNREVIEWED,,0,8876,millimeter mercury column,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12678,Central pulse pressure during PWA,85413,,0.00,UNCHECKED,UNREVIEWED,,0,8876,millimeter mercury column,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12679,Number of beats in waveform average for PWA,86863,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12680,Central augmentation pressure during PWA,85299,,0.00,UNCHECKED,UNREVIEWED,,0,8876,millimeter mercury column,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12681,Augmentation index for PWA,86747,,0.00,UNCHECKED,UNREVIEWED,,0,8554,percent,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12682,Cardiac output during PWA,82411,,0.00,UNCHECKED,UNREVIEWED,,0,8698,liter per minute,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12683,End systolic pressure during PWA,85244,,0.00,UNCHECKED,UNREVIEWED,,0,8876,millimeter mercury column,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12684,End systolic pressure index during PWA,82411,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12685,Total peripheral resistance during PWA,85214,,0.00,UNCHECKED,UNREVIEWED,,0,9388,peripheral vascular resistance unit,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12686,Stroke volume during PWA,82472,,0.00,UNCHECKED,UNREVIEWED,,0,8587,milliliter,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12687,Mean arterial pressure during PWA,85422,,0.00,UNCHECKED,UNREVIEWED,,0,8876,millimeter mercury column,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12688,Vicorder trace,43854,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12695,Blood pressure test start time,43728,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
12697,Systolic brachial blood pressure,43721,,0.00,UNCHECKED,UNREVIEWED,,0,8876,millimeter mercury column,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12698,Diastolic brachial blood pressure,43723,,0.00,UNCHECKED,UNREVIEWED,,0,8876,millimeter mercury column,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12699,Number of PWA tests performed,43854,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12702,Cardiac index during PWA,79490,,0.00,UNCHECKED,UNREVIEWED,,0,32710,liter per minute per square meter,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
12704,Reason brain MRI not completed,8160,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
132,Job code at visit - entered,393125,,0.00,APPROVED,EQUIVALENT,maxim,1646635742337,4033543,Occupation,Observation,MAPS_TO,,maxim,1646635741632,
134,Number of self-reported cancers,568181,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
135,Number of self-reported non-cancer illnesses,568181,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
136,"Number of operations, self-reported",568181,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
137,Number of treatments/medications taken,568181,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
146,Father's day of birth,255927,,0.00,UNCHECKED,UNREVIEWED,,0,8512,day,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20015,Sitting height,567022,,0.00,APPROVED,EQUIVALENT,maxim,1646635530385,4093976,Sitting height,Observation,MAPS_TO,,<athena>,1646635032000,
20015,Sitting height,567022,,0.00,APPROVED,EQUIVALENT,maxim,1646635530385,8582,centimeter,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20016,Fluid intelligence score,233646,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20019,Speech-reception-threshold (SRT) estimate (left),232799,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20021,Speech-reception-threshold (SRT) estimate (right),232818,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20022,Birth weight,293431,,0.00,UNCHECKED,UNREVIEWED,,0,9529,kilogram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20023,Mean time to correctly identify matches,565586,,0.00,UNCHECKED,UNREVIEWED,,0,9593,millisecond,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20024,Job code at visit - deduced,14552,,0.00,APPROVED,EQUIVALENT,maxim,1646635723419,4033543,Occupation,Observation,MAPS_TO,,maxim,1646635721516,
20025,Time saliva sample collected,120136,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20031,Acceptability of each blow result (text),604820,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20032,Acceptability of each blow result (text) (pilot),6505,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20033,Home location at assessment - east co-ordinate,544113,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20034,Home location at assessment - north co-ordinate,544113,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20035,Time urine sample collected,494765,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20074,Home location at assessment - east co-ordinate (rounded),544113,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20075,Home location at assessment - north co-ordinate (rounded),544113,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20076,Treatment/medication READ-code,-1,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20077,Number of diet questionnaires completed,211005,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20078,When diet questionnaire completion requested,458573,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20081,Hour-of-day questionnaire completed,458570,,0.00,UNCHECKED,UNREVIEWED,,0,8505,hour,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20082,Duration of questionnaire,458570,,0.00,UNCHECKED,UNREVIEWED,,0,8550,minute,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20083,Delay between questionnaire request and completion,458570,,0.00,UNCHECKED,UNREVIEWED,,0,8512,day,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20121,Cascot confidence score,14552,,0.00,UNCHECKED,UNREVIEWED,,0,8554,percent,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20127,Neuroticism score,401564,,0.00,APPROVED,EQUIVALENT,maxim,1646635594988,4120411,Level of neuroticism,Observation,MAPS_TO,,<athena>,1646635032000,
20128,Number of fluid intelligence questions attempted within time limit,233646,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20129,Number of columns displayed in round,252021,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20130,Number of rows displayed in round,252021,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20131,Number of correct matches in round,252021,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20132,Number of incorrect matches in round,252021,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20134,When pairs test completed,118529,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20135,When fluid intelligence test completed,123614,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20136,When trail making test completed,120460,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20137,When symbol digit substitution test completed,120177,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20138,When numeric memory test completed,111063,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20140,When device described,131261,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20147,Errors before selecting correct item in numeric path (trail #1),44188,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20148,Errors before selecting correct item in alphanumeric path (trail #2),72322,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20150,"Forced expiratory volume in 1-second (FEV1), Best measure",353303,,0.00,APPROVED,EQUIVALENT,maxim,1646636779550,4241837,Forced expired volume in 1 second,Measurement,MAPS_TO,,<athena>,1646635032000,
20150,"Forced expiratory volume in 1-second (FEV1), Best measure",353303,,0.00,APPROVED,EQUIVALENT,maxim,1646636779550,8519,liter,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20151,"Forced vital capacity (FVC), Best measure",353303,,0.00,APPROVED,EQUIVALENT,maxim,1646636767863,4176265,Forced vital capacity,Measurement,MAPS_TO,,<athena>,1646635032000,
20151,"Forced vital capacity (FVC), Best measure",353303,,0.00,APPROVED,EQUIVALENT,maxim,1646636767863,8519,liter,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20153,"Forced expiratory volume in 1-second (FEV1), predicted",151970,,0.00,APPROVED,EQUIVALENT,maxim,1646636776896,4147723,Expected forced expired volume in 1 second,Measurement,MAPS_TO,,<athena>,1646635032000,
20153,"Forced expiratory volume in 1-second (FEV1), predicted",151970,,0.00,APPROVED,EQUIVALENT,maxim,1646636776896,8519,liter,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20154,"Forced expiratory volume in 1-second (FEV1), predicted percentage",151970,,0.00,APPROVED,EQUIVALENT,maxim,1646636774599,4208972,Percent predicted FEV1,Measurement,MAPS_TO,,<athena>,1646635032000,
20154,"Forced expiratory volume in 1-second (FEV1), predicted percentage",151970,,0.00,APPROVED,EQUIVALENT,maxim,1646636774599,8554,percent,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20156,Duration to complete numeric path (trail #1),104031,,0.00,UNCHECKED,UNREVIEWED,,0,8555,second,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20157,Duration to complete alphanumeric path (trail #2),104029,,0.00,UNCHECKED,UNREVIEWED,,0,8555,second,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20159,Number of symbol digit matches made correctly,118467,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20161,Pack years of smoking,168605,,0.00,UNCHECKED,UNREVIEWED,,0,9448,year,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20162,Pack years adult smoking as proportion of life span exposed to smoking,168605,,0.00,UNCHECKED,UNREVIEWED,,0,8510,unit,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20191,Fluid intelligence score,123614,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20192,Number of fluid intelligence questions attempted within time limit,123614,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20195,Number of symbol digit matches attempted,118467,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20197,Number of word pairs correctly associated,36520,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20200,Values wanted,3349882,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20229,Values entered,3349882,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20230,Duration to entering value,3349882,,0.00,UNCHECKED,UNREVIEWED,,0,9593,millisecond,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20240,Maximum digits remembered correctly,111063,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20247,Total errors traversing numeric path (trail #1),26360,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20248,Total errors traversing alphanumeric path (trail #2),42772,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20256,Forced expiratory volume in 1-second (FEV1) Z-score,379381,,0.00,APPROVED,EQUIVALENT,maxim,1646636773469,4241837,Forced expired volume in 1 second,Measurement,MAPS_TO,,<athena>,1646635032000,
20256,Forced expiratory volume in 1-second (FEV1) Z-score,379381,,0.00,APPROVED,EQUIVALENT,maxim,1646636773469,44777566,score,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20257,Forced vital capacity (FVC) Z-score,379381,,0.00,APPROVED,EQUIVALENT,maxim,1646636766531,4176265,Forced vital capacity,Measurement,MAPS_TO,,<athena>,1646635032000,
20257,Forced vital capacity (FVC) Z-score,379381,,0.00,APPROVED,EQUIVALENT,maxim,1646636766531,44777566,score,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20258,FEV1/ FVC ratio Z-score,379381,,0.00,APPROVED,EQUIVALENT,maxim,1646636784699,4090331,Forced expired volume in one second/forced vital capacity ratio,Measurement,MAPS_TO,,<athena>,1646635032000,
20258,FEV1/ FVC ratio Z-score,379381,,0.00,APPROVED,EQUIVALENT,maxim,1646636784699,44777566,score,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20261,avMSE,114697,,0.00,UNCHECKED,UNREVIEWED,,0,9291,diopter,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
20270,Home location - census output area (2001 Census),-1,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20271,Home location - lower layer super output area (2001 Census),-1,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20272,Home location - local authority district (2001 boundaries),-1,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20273,Home location - census output area (2011 Census),-1,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20274,Home location - lower layer super output area (2011 Census),-1,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20275,Home location - middle layer super output area (2011 Census),-1,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20276,Home location - local authority district (2011 boundaries),-1,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20277,Job code at visit,385933,,0.00,APPROVED,EQUIVALENT,maxim,1646635750609,4033543,Occupation,Observation,MAPS_TO,,maxim,1646635746816,
20455,Age when last took cannabis,34880,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20599,Order of asking questions,182212,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20750,When food preferences questionnaire completed,182212,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
20751,Duration of questionnaire,182212,,0.00,UNCHECKED,UNREVIEWED,,0,8550,minute,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
21001,Body mass index (BMI),570249,,0.00,APPROVED,EQUIVALENT,maxim,1646635814515,4245997,Body mass index,Observation,MAPS_TO,,<athena>,1646635032000,
21001,Body mass index (BMI),570249,,0.00,APPROVED,EQUIVALENT,maxim,1646635814515,9531,kilogram per square meter,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
21002,Weight,570626,,0.00,APPROVED,EQUIVALENT,maxim,1646635510242,42536495,Current body weight,Observation,MAPS_TO,,<athena>,1646635032000,
21002,Weight,570626,,0.00,APPROVED,EQUIVALENT,maxim,1646635510242,9529,kilogram,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
21003,Age when attended assessment centre,575046,,0.00,UNCHECKED,UNREVIEWED,,0,9448,year,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
21004,Number of puzzles correct,35781,,0.00,UNCHECKED,UNREVIEWED,,0,32912,Generic unit for indivisible thing,Unit,MAPS_TO_UNIT,,<athena>,1646635032000,
21021,Pulse wave Arterial Stiffness index,233887,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
