sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
41256;41258;41273,Revision or irrigation of ventricular shunt,016,,,0,,0.8872105479240420,UNCHECKED,,,4282631,VALUE,,,
41256;41258;41273,"Cranial puncture, not elsewhere classified",017,,,0,,0.5314487218856810,UNCHECKED,,,4165622,VALUE,,,
41256;41258;41273,"Cranial puncture, not elsewhere classified : needle biopsy of brain",0171,,,0,,0.5071654319763180,UNCHECKED,,,4081616,VALUE,,,
41256;41258;41273,"Capsulectomy, not elsewhere classified",172,,,0,,0.5354132056236270,UNCHECKED,,,4272798,VALUE,,,
41256;41258;41273,"Cranial puncture, not elsewhere classified : aspiration (brain substance, abscess)",0172,,,0,,0.46627023816108700,UNCHECKED,,,2101888,VALUE,,,
41256;41258;41273,Cisternal puncture,018,,,0,,1.0,APPROVED,,,2110401,VALUE,,,
41256;41258;41273,Laminotomy and laminectomy,020,,,34,,0.6633118391036990,UNCHECKED,,,4054353,VALUE,,,
41256;41258;41273,Laminotomy and laminectomy : laminotomy,0201,,,0,,0.4806073307991030,UNCHECKED,,,4054353,VALUE,,,
41256;41258;41273,Laminotomy and laminectomy : excision of bone (tumour),0202,,,0,,0.3928872346878050,UNCHECKED,,,4221133,VALUE,,,
41256;41258;41273,Laminotomy and laminectomy : elevation of depressed bone,0203,,,0,,0.4029235541820530,UNCHECKED,,,4320936,VALUE,,,
41256;41258;41273,"Laminotomy and laminectomy : drainage (abscess, haematoma)",0204,,,0,,0.41762492060661300,UNCHECKED,,,4073292,VALUE,,,
41256;41258;41273,"Laminotomy and laminectomy : opening of dura, decompression",0205,,,20,,0.47542130947113000,UNCHECKED,,,4054353,VALUE,,,
41256;41258;41273,Laminotomy and laminectomy : biopsy of bone,0206,,,0,,0.5433040857315060,UNCHECKED,,,4029787,VALUE,,,
41256;41258;41273,Open reduction of fracture of spine,021,,,0,,0.9327490329742430,APPROVED,,,4057654,VALUE,,,
41256;41258;41273,Open reduction of fracture of spine : with fixation,0211,,,4,,0.7166377902030950,UNCHECKED,,,4038683,VALUE,,,
41256;41258;41273,Spinal fusion and bone operation,022,,,28,,0.7272228002548220,UNCHECKED,,,4208113,VALUE,,,
41256;41258;41273,Spinal fusion and bone operation : bone graft,0221,,,0,,0.5438993573188780,UNCHECKED,,,4244399,VALUE,,,
41256;41258;41273,Spinal fusion and bone operation : arthroplasty of spine,0222,,,5,,0.4023016095161440,UNCHECKED,,,4034305,VALUE,,,
41256;41258;41273,"Operation on intervertebral disc, not elsewhere classified",023,,,0,,0.5634404420852660,UNCHECKED,,,4034458,VALUE,,,
41256;41258;41273,"Operation on intervertebral disc, not elsewhere classified : excision",0231,,,90,,0.48585617542266800,APPROVED,,,4034458,VALUE,,,
41256;41258;41273,"Operation on intervertebral disc, not elsewhere classified : with radiculotomy",0232,,,0,,0.4541807472705840,UNCHECKED,,,4034458,VALUE,,,
41256;41258;41273,"Operation on intervertebral disc, not elsewhere classified : with bone graft",0233,,,0,,0.45859959721565200,UNCHECKED,,,4034458,VALUE,,,
41256;41258;41273,"Operation on intervertebral disc, not elsewhere classified : exploration",0234,,,0,,0.5334580540657040,UNCHECKED,,,4274469,VALUE,,,
41256;41258;41273,Section of intraspinal nerve roots,024,,,0,,0.7525996565818790,UNCHECKED,,,4078919,VALUE,,,
41256;41258;41273,Section of intraspinal nerve roots : cauda equina,0241,,,0,,0.506396472454071,UNCHECKED,,,4231206,VALUE,,,
41256;41258;41273,Division of cord or spinal tracts,025,,,0,,0.8506126999855040,UNCHECKED,,,4071877,VALUE,,,
41256;41258;41273,Extirpation of intraspinal lesion,026,,,0,,0.7304880023002630,UNCHECKED,,,4304936,VALUE,,,
41256;41258;41273,Extirpation of intraspinal lesion : extramedullary,0261,,,0,,0.5228807926177980,UNCHECKED,,,4144019,VALUE,,,
41256;41258;41273,Extirpation of intraspinal lesion : intradedullary,0262,,,0,,0.4876058101654050,UNCHECKED,,,4304936,VALUE,,,
41256;41258;41273,Extirpation of intraspinal lesion : extrusion technique,0263,,,0,,0.5375788807868960,UNCHECKED,,,4220434,VALUE,,,
41256;41258;41273,Repair of spinal cord and meninges,027,,,0,,0.9674674272537230,APPROVED,,,4302449,VALUE,AND,,
41256;41258;41273,Repair of spinal cord and meninges,027,,,0,,0.9674674272537230,APPROVED,,,4222434,VALUE,AND,,
41256;41258;41273,Repair of spinal cord and meninges : freeing of adhesions,0275,,,0,,0.7354690432548520,UNCHECKED,,,4037222,VALUE,,,
41256;41258;41273,Spinal puncture,028,,,0,,1.0,APPROVED,,,4080549,VALUE,,,
41256;41258;41273,Spinal puncture : spinal myelography,0281,,,84,,0.5442964434623720,APPROVED,,,4080549,VALUE,AND,,
41256;41258;41273,Spinal puncture : spinal myelography,0281,,,84,,0.5442964434623720,APPROVED,,,4280591,VALUE,AND,,
41256;41258;41273,Spinal puncture : injection of destructive agent,0282,,,6,,0.6830767393112180,UNCHECKED,,,4200688,VALUE,,,
41256;41258;41273,Spinal puncture : drainage,0283,,,0,,0.6240062713623050,UNCHECKED,,,4080549,VALUE,,,
41256;41258;41273,Spinal puncture : manometry,0284,,,0,,0.5853411555290220,UNCHECKED,,,4080549,VALUE,,,
41256;41258;41273,"Spinal puncture : diagnostic, not elsewhere classified",0285,,,38,,0.4448596239089970,APPROVED,,,4142094,VALUE,,,
41256;41258;41273,Spinal puncture : cauda equine block,0286,,,0,,0.48076382279396100,UNCHECKED,,,4080549,VALUE,,,
41256;41258;41273,Other operation on spine and contents,029,,,0,,0.5634252429008480,UNCHECKED,,,4298562,VALUE,,,
41256;41258;41273,Other operation on spine and contents : biopsy of cord or meninges,0291,,,0,,0.5434420704841610,UNCHECKED,,,4124234,VALUE,,,
41256;41258;41273,Other operation on spine and contents : removal of foreign body,0292,,,0,,0.5957719683647160,UNCHECKED,,,4029357,VALUE,,,
41256;41258;41273,Other operation on spine and contents : operation for spinal deformity,0293,,,0,,0.47903022170066800,UNCHECKED,,,4302694,VALUE,,,
41256;41258;41273,"Other operation on spine and contents : aspiration (cyst, abscess)",0295,,,0,,0.4740980267524720,UNCHECKED,,,4333812,VALUE,,,
41256;41258;41273,"Other operation on spine and contents : neuropacemaker, insertion",0296,,,0,,0.5354154706001280,UNCHECKED,,,4139773,VALUE,,,
41256;41258;41273,Decompression of cranial nerve,032,,,0,,1.0,APPROVED,,,4311112,VALUE,,,
41256;41258;41273,Injection of cranial nerve or ganglion,034,,,0,,0.8262248635292050,UNCHECKED,,,4045614,VALUE,,,
41256;41258;41273,Injection of cranial nerve or ganglion : destructive,0342,,,0,,0.7473184466362,UNCHECKED,,,4045614,VALUE,,,
41256;41258;41273,Other operations on cranial nerves and ganglia,035,,,0,,0.5808609127998350,UNCHECKED,,,4045614,VALUE,,,
41256;41258;41273,Other operations on cranial nerves and ganglia : avulsion,0351,,,0,,0.6007748246192930,UNCHECKED,,,4296224,VALUE,,,
41256;41258;41273,Other operations on cranial nerves and ganglia : transection,0352,,,0,,0.5232781171798710,UNCHECKED,,,4274789,VALUE,,,
41256;41258;41273,Other operations on cranial nerves and ganglia : ganglionectomy,0353,,,0,,0.6166167259216310,UNCHECKED,,,4181585,VALUE,,,
41256;41258;41273,Other operations on cranial nerves and ganglia : repair or anastomosis,0355,,,0,,0.5326395034790040,UNCHECKED,,,4328495,VALUE,,,
41256;41258;41273,Sympathectomy,036,,,0,,1.0,APPROVED,,,4237289,VALUE,,,
41256;41258;41273,Sympathectomy : cervical,0361,,,0,,0.7339267730712890,UNCHECKED,,,2110855,VALUE,,,
41256;41258;41273,Sympathectomy : stellate,0362,,,0,,0.6295894980430600,UNCHECKED,,,4237289,VALUE,,,
41256;41258;41273,Sympathectomy : lumbar,0363,,,4,,0.7435325384140020,UNCHECKED,,,2110858,VALUE,,,
41256;41258;41273,"Sympathectomy : splanchnic, presacral",0364,,,0,,0.6552422046661380,UNCHECKED,,,4225073,VALUE,,,
41256;41258;41273,Injection into sympathetic nerve or ganglion,037,,,0,,0.7628695368766790,UNCHECKED,,,4230034,VALUE,,,
41256;41258;41273,Injection into sympathetic nerve or ganglion : destructive,0372,,,0,,0.6162128448486330,UNCHECKED,,,4230034,VALUE,,,
41256;41258;41273,Injection into sympathetic nerve or ganglion : para cervical,0373,,,0,,0.6089080572128300,UNCHECKED,,,4230034,VALUE,,,
41256;41258;41273,Other operation on autonomic nervous system,039,,,0,,0.6796242594718930,UNCHECKED,,,4041193,VALUE,,,
41256;41258;41273,Other operation on autonomic nervous system : biopsy,0391,,,0,,0.5116687417030330,UNCHECKED,,,2314138,VALUE,,,
41256;41258;41273,Other operation on autonomic nervous system : extirpation,0392,,,0,,0.5120155215263370,UNCHECKED,,,2314138,VALUE,,,
41256;41258;41273,Other operation on autonomic nervous system : periaterial sympathetic,0393,,,0,,0.6422215700149540,UNCHECKED,,,4122300,VALUE,,,
41256;41258;41273,Neurectomy and neurotomy,040,,,0,,0.716198742389679,UNCHECKED,,,4002391,VALUE,,,
41256;41258;41273,Neurectomy and neurotomy : biopsy,0401,,,0,,0.4484851658344270,UNCHECKED,,,46273672,VALUE,,,
41256;41258;41273,Neurectomy and neurotomy : excision,0402,,,0,,0.39663976430892900,UNCHECKED,,,2109027,VALUE,,,
41256;41258;41273,Neurectomy and neurotomy : section,0403,,,0,,0.5014645457267760,UNCHECKED,,,4002391,VALUE,,,
41256;41258;41273,Decompression of nerve,041,,,17,,1.0,APPROVED,,,4243910,VALUE,,,
41256;41258;41273,Decompression of nerve : carpel tunnel,0411,,,0,,0.6564165949821470,UNCHECKED,,,4166080,VALUE,,,
41256;41258;41273,Decompression of nerve : tarsal tunnel,0412,,,0,,0.7581907510757450,UNCHECKED,,,4187083,VALUE,,,
41256;41258;41273,Freeing of adhesions,043,,,0,,0.8546383380889890,UNCHECKED,,,4010261,VALUE,,,
41256;41258;41273,"Freeing of adhesions : exploration, not elsewhere classified",0431,,,18,,0.45162051916122400,UNCHECKED,,,4010261,VALUE,,,
41256;41258;41273,Extirpation of lesion of peripheral nerve,045,,,24,,0.765728235244751,UNCHECKED,,,4333825,VALUE,,,
41256;41258;41273,Neuroplasty and neurorrhaphy,046,,,14,,0.7994086742401120,UNCHECKED,,,4250330,VALUE,,,
41256;41258;41273,Neuroplasty and neurorrhaphy : anastomosis,0461,,,0,,0.5956236124038700,UNCHECKED,,,4250330,VALUE,,,
41256;41258;41273,Neuroplasty and neurorrhaphy : suture,0462,,,6,,0.6065004467964170,UNCHECKED,,,4250330,VALUE,,,
41256;41258;41273,Neuroplasty and neurorrhaphy : transposition,0463,,,0,,0.5904472470283510,UNCHECKED,,,4250330,VALUE,,,
41256;41258;41273,Injection of peripheral nerve,048,,,0,,1.0,APPROVED,,,4202685,VALUE,,,
41256;41258;41273,Injection of peripheral nerve : destructive,0481,,,0,,0.6998663544654850,UNCHECKED,,,4202685,VALUE,,,
41256;41258;41273,Other operations on peripheral nerves,049,,,0,,0.7760576009750370,UNCHECKED,,,4090396,VALUE,,,
41256;41258;41273,Other operations on peripheral nerves : removal of foreign body,0492,,,0,,0.660089373588562,UNCHECKED,,,4248444,VALUE,,,
41256;41258;41273,Operations on vessels of brain,052,,,0,,0.7672219276428220,UNCHECKED,,,4148948,VALUE,,,
41256;41258;41273,Operations on vessels of brain : clip or ligation,0521,,,0,,0.49303972721099900,UNCHECKED,,,4148948,VALUE,,,
41256;41258;41273,Operations on vessels of brain : other operations on aneurysm nec,0522,,,0,,0.47046127915382400,UNCHECKED,,,4019405,VALUE,,,
41256;41258;41273,Anastomosis of gall bladder to jejunum,0523,,,0,,0.7794272303581240,UNCHECKED,,,4246722,VALUE,,,
41256;41258;41273,Evacuation of haematoma or cyst,053,,,0,,0.8585147857666020,UNCHECKED,,,4042179,VALUE,,,
41256;41258;41273,Evacuation of haematoma or cyst : subdural,0531,,,0,,0.7161703109741210,UNCHECKED,,,4242877,VALUE,,,
41256;41258;41273,Evacuation of haematoma or cyst : temporal lobe,0532,,,0,,0.6624022722244260,UNCHECKED,,,4063531,VALUE,,,
41256;41258;41273,Evacuation of haematoma or cyst : extradural,0533,,,0,,0.6513857245445250,UNCHECKED,,,4333692,VALUE,,,
41256;41258;41273,Infective lesion of brain,054,,,0,,0.5388942956924440,UNCHECKED,,,4213313,VALUE,,,
41256;41258;41273,Infective lesion of brain : drainage of abscess,0541,,,0,,0.6163363456726070,UNCHECKED,,,2110425,VALUE,,,
41256;41258;41273,Excision of intracranial lesion,055,,,6,,1.0,APPROVED,,,4321596,VALUE,,,
41256;41258;41273,Excision of intracranial lesion : trans-sphenoidal,0552,,,0,,0.5641058087348940,UNCHECKED,,,2110590,VALUE,,,
41256;41258;41273,Excision of intracranial lesion : infra-tentorial approach,0553,,,0,,0.5493285655975340,UNCHECKED,,,4321596,VALUE,,,
41256;41258;41273,Excision of intracranial lesion : frontal approach,0554,,,4,,0.6485567688941960,UNCHECKED,,,4321596,VALUE,,,
41256;41258;41273,Excision of intracranial lesion : cortical excision,0555,,,0,,0.6881019473075870,UNCHECKED,,,4321596,VALUE,,,
41256;41258;41273,Excision of intracranial lesion : hernia,0556,,,0,,0.6932147145271300,UNCHECKED,,,4321596,VALUE,,,
41256;41258;41273,Biopsy of brain,057,,,0,,0.9134740829467770,UNCHECKED,,,42537289,VALUE,,,
41256;41258;41273,"Intracranial operations, not elsewhere classified",059,,,0,,0.3378355801105500,UNCHECKED,,,4047006,VALUE,,,
41256;41258;41273,"Intracranial operations, not elsewhere classified : exploration",0591,,,0,,0.44938910007476800,UNCHECKED,,,4235463,VALUE,,,
41256;41258;41273,Hypophysectomy,061,,,0,,1.0,APPROVED,,,4201001,VALUE,,,
41256;41258;41273,Hypophysectomy : paranasal trans-sphenoidal,0611,,,0,,0.570229172706604,UNCHECKED,,,4065313,VALUE,,,
41256;41258;41273,Hypophysectomy : intracranial trans-frontal,0612,,,0,,0.5267642736434940,UNCHECKED,,,4064125,VALUE,,,
41256;41258;41273,Destruction of pituitary gland or lesion,062,,,0,,0.9002883434295650,UNCHECKED,,,4307666,VALUE,,,
41256;41258;41273,Other operations related to pituitary or pineal gland,063,,,0,,0.7186638712883000,UNCHECKED,,,4139003,VALUE,,,
41256;41258;41273,Other operations related to pituitary or pineal gland : pituitary stalk,0631,,,0,,0.5919642448425290,UNCHECKED,,,4139003,VALUE,,,
41256;41258;41273,Other operations related to pituitary or pineal gland : pineal,0633,,,0,,0.6235142350196840,UNCHECKED,,,4139003,VALUE,,,
41256;41258;41273,Partial adrenalectomy,065,,,0,,1.0,APPROVED,,,4141142,VALUE,,,
41256;41258;41273,"Excision of adrenal gland, not otherwise classified",066,,,0,,0.6009924411773680,UNCHECKED,,,4137462,VALUE,,,
41256;41258;41273,Bilateral adrenalectomy,067,,,0,,1.0,APPROVED,,,4114630,VALUE,,,
41256;41258;41273,Bilateral adrenalectomy and oophorectomy,068,,,0,,0.765324056148529,UNCHECKED,,,4297990,VALUE,,,
41256;41258;41273,Other operations on adrenal gland,069,,,0,,0.8512445092201230,UNCHECKED,,,4047234,VALUE,,,
41256;41258;41273,Other operations on adrenal gland : biopsy,0691,,,0,,0.614702045917511,UNCHECKED,,,42536496,VALUE,,,
41256;41258;41273,Incision of thyroid field,070,,,0,,0.8081697225570680,UNCHECKED,,,4219639,VALUE,,,
41256;41258;41273,Partial thyroidectomy,071,,,0,,0.8796053528785710,UNCHECKED,,,4082277,VALUE,,,
41256;41258;41273,Partial thyroidectomy : biopsy,0711,,,4,,0.5905360579490660,UNCHECKED,,,4082277,VALUE,,,
41256;41258;41273,Partial thyroidectomy : nodule,0712,,,0,,0.5968321561813350,UNCHECKED,,,4082277,VALUE,,,
41256;41258;41273,Partial thyroidectomy : isthmectomy,0713,,,0,,0.6741519570350650,UNCHECKED,,,4238120,VALUE,,,
41256;41258;41273,Partial thyroidectomy : isthmectomy,0714,,,36,,0.6741519570350650,UNCHECKED,,,4238120,VALUE,,,
41256;41258;41273,Partial thyroidectomy : lobectomy,0715,,,46,,0.7155921459198000,APPROVED,,,4201613,VALUE,,,
41256;41258;41273,Partial thyroidectomy : hemithyroidectomy,0716,,,0,,0.6734315156936650,UNCHECKED,,,4118958,VALUE,,,
41256;41258;41273,"Thyroidectomy, not elsewhere classified",072,,,0,,0.5254202485084530,UNCHECKED,,,4030107,VALUE,,,
41256;41258;41273,"Thyroidectomy, not elsewhere classified : total thyroidectomy",0721,,,0,,0.52794349193573,UNCHECKED,,,4073199,VALUE,,,
41256;41258;41273,"Thyroidectomy, not elsewhere classified : with wide block dissection",0722,,,0,,0.37558871507644700,UNCHECKED,,,2110372,VALUE,,,
41256;41258;41273,Thyroidectomy of aberrant thyroid,074,,,0,,0.7186903953552250,UNCHECKED,,,4030107,VALUE,,,
41256;41258;41273,Thyroidectomy of aberrant thyroid : substernal thyroid,0741,,,0,,0.6501535177230840,UNCHECKED,,,4200221,VALUE,,,
41256;41258;41273,Other operations on thyroid gland,075,,,0,,0.8657593727111820,UNCHECKED,,,4049330,VALUE,,,
41256;41258;41273,"Other operations on thyroid gland : biopsy, retrosternal",0751,,,0,,0.5568035840988160,UNCHECKED,,,4085189,VALUE,,,
41256;41258;41273,Operations on parathyroid glands,076,,,0,,0.8888726234436040,UNCHECKED,,,4185578,VALUE,,,
41256;41258;41273,Operations on parathyroid glands : biopsy,0761,,,0,,0.6525980234146120,UNCHECKED,,,4337807,VALUE,,,
41256;41258;41273,Operations on parathyroid glands : partial parathyroidectomy,0763,,,0,,0.6462315320968630,UNCHECKED,,,35624704,VALUE,,,
41256;41258;41273,Operations on parathyroid glands : global parathyroidectomy,0764,,,0,,0.667823851108551,UNCHECKED,,,4047947,VALUE,,,
41256;41258;41273,Operations on parathyroid glands : transplant,0765,,,0,,0.6665667295455930,UNCHECKED,,,4185578,VALUE,,,
41256;41258;41273,Thymectomy,077,,,0,,1.0,APPROVED,,,4265165,VALUE,,,
41256;41258;41273,Other operations on thymus,078,,,0,,0.8230478167533880,UNCHECKED,,,4163968,VALUE,,,
41256;41258;41273,"Other glandular operations, not elsewhere classified",079,,,0,,0.36632075905799900,UNCHECKED,,,2213292,VALUE,,,
41256;41258;41273,"Other glandular operations, not elsewhere classified : carotid body",0792,,,0,,0.3811509609222410,UNCHECKED,,,4141114,VALUE,,,
41256;41258;41273,"Other glandular operations, not elsewhere classified : other vascular bodies",0793,,,0,,0.2627768814563750,UNCHECKED,,,2111289,VALUE,,,
41256;41258;41273,"Other glandular operations, not elsewhere classified : aortic bodies",0794,,,0,,0.313628226518631,UNCHECKED,,,2213292,VALUE,,,
41256;41258;41273,Excision of cervical lymph nodes,080,,,0,,0.9773451089859010,APPROVED,,,4122781,VALUE,,,
41256;41258;41273,Excision of cervical lymph nodes : biopsy (scalene node),0801,,,4,,0.6253942251205440,UNCHECKED,,,4075302,VALUE,,,
41256;41258;41273,Excision of cervical lymph nodes : block dissection,0802,,,0,,0.7760744094848630,UNCHECKED,,,4075296,VALUE,,,
41256;41258;41273,Excision of cervical lymph nodes : radical cervical,0803,,,0,,0.7167459726333620,UNCHECKED,,,4122781,VALUE,,,
41256;41258;41273,Excision of cervical lymph nodes : simple excision,0806,,,14,,0.6883792877197270,UNCHECKED,,,4122781,VALUE,,,
41256;41258;41273,Removal of cervical rib,081,,,0,,0.7876906394958500,UNCHECKED,,,4022101,VALUE,,,
41256;41258;41273,"Operations on arteries in neck, not elsewhere classified",082,,,0,,0.38322585821151700,UNCHECKED,,,2213292,VALUE,,,
41256;41258;41273,"Operations on arteries in neck, not elsewhere classified : embolectomy",0822,,,0,,0.3630788028240200,UNCHECKED,,,4174917,VALUE,,,
41256;41258;41273,"Operations on arteries in neck, not elsewhere classified : resection with graft",0823,,,0,,0.24558906257152600,UNCHECKED,,,2101970,VALUE,,,
41256;41258;41273,"Operations on arteries in neck, not elsewhere classified : bypass graft",0824,,,0,,0.3957231938838960,UNCHECKED,,,2107453,VALUE,,,
41256;41258;41273,"Operations on arteries in neck, not elsewhere classified : implantation of graft",0825,,,0,,0.28626325726509100,UNCHECKED,,,2103096,VALUE,,,
41256;41258;41273,"Operations on arteries in neck, not elsewhere classified : resection with reanastomosis",0826,,,0,,0.3613907992839810,UNCHECKED,,,4171514,VALUE,,,
41256;41258;41273,"Operations on arteries in neck, not elsewhere classified : suture of vessel",0827,,,0,,0.3331988751888280,UNCHECKED,,,4182383,VALUE,,,
41256;41258;41273,Perfusion of head and neck,083,,,0,,0.7146756052970890,UNCHECKED,,,4324344,VALUE,,,
41256;41258;41273,Cerebral arteriography,084,,,4,,1.0,APPROVED,,,4138836,VALUE,,,
41256;41258;41273,Excision of cyst or fistula,085,,,0,,0.7148723006248470,UNCHECKED,,,4323042,VALUE,,,
41256;41258;41273,Excision of cyst or fistula : incision thyroglossal tract or duct,0851,,,0,,0.683895468711853,UNCHECKED,,,4287467,VALUE,,,
41256;41258;41273,Excision of cyst or fistula : excision thyroglossal tract or duct,0852,,,0,,0.6985253691673280,UNCHECKED,,,4287467,VALUE,,,
41256;41258;41273,"Excision of cyst or fistula : incision branchial cleft, sinus or fistula",0853,,,0,,0.6038955450057980,UNCHECKED,,,2108814,VALUE,,,
41256;41258;41273,"Excision of cyst or fistula : excision branchial cleft, sinus or fistula",0854,,,0,,0.615662693977356,UNCHECKED,,,2108814,VALUE,,,
41256;41258;41273,"Other operations in neck region, not elsewhere classified",089,,,16,,0.3216722309589390,UNCHECKED,,,2788604,VALUE,,,
41256;41258;41273,"Other operations in neck region, not elsewhere classified : drainage of abscess",0891,,,0,,0.4487236738204960,UNCHECKED,,,40487470,VALUE,,,
41256;41258;41273,"Other operations in neck region, not elsewhere classified : ligation of vein venous anastomsis",0892,,,0,,0.27899786829948400,UNCHECKED,,,2788604,VALUE,,,
41256;41258;41273,"Other operations in neck region, not elsewhere classified : catheterization of vessel, not elsewhere",0893,,,0,,0.37935879826545700,UNCHECKED,,,4234950,VALUE,,,
41256;41258;41273,"Craniotomy, not elsewhere classified",1,,,12,,0.4602508842945100,UNCHECKED,,,4101626,VALUE,,,
41256;41258;41273,Orbitotomy,100,,,0,,1.0,APPROVED,,,4327354,VALUE,,,
41256;41258;41273,Orbitotomy : biopsy of orbit,1001,,,0,,0.5953301787376400,UNCHECKED,,,40488857,VALUE,,,
41256;41258;41273,"Orbitotomy : abscess, haematoma",1002,,,0,,0.49785900115966800,UNCHECKED,,,4327354,VALUE,,,
41256;41258;41273,Orbitotomy : removal of foreign body,1003,,,0,,0.6640977263450620,UNCHECKED,,,2111078,VALUE,,,
41256;41258;41273,"Exenteration of orbit, not elsewhere classified",101,,,0,,0.5812662243843080,UNCHECKED,,,4266483,VALUE,,,
41256;41258;41273,Repair of socket,102,,,0,,0.797917902469635,UNCHECKED,,,2104833,VALUE,,,
41256;41258;41273,Removal of eyeball,103,,,8,,1.0,APPROVED,,,2110903,VALUE,,,
41256;41258;41273,Evisceration of contents of eyeball,104,,,0,,0.876438558101654,UNCHECKED,,,4189287,VALUE,,,
41256;41258;41273,"Extirpation of lesion of eye or orbit, not elsewhere classified",107,,,0,,0.48892462253570600,UNCHECKED,,,4065565,VALUE,,,
41256;41258;41273,Orbital implant,108,,,0,,0.8483786582946780,UNCHECKED,,,4119399,VALUE,,,
41256;41258;41273,Orbital implant : insertion or removal of implant,1081,,,0,,0.6614460349082950,UNCHECKED,,,2111090,VALUE,,,
41256;41258;41273,Orbital implant : re-insertion,1082,,,0,,0.6247378587722780,UNCHECKED,,,4119399,VALUE,,,
41256;41258;41273,Other operation on orbit,109,,,0,,0.7109119892120360,UNCHECKED,,,4154279,VALUE,,,
41256;41258;41273,Other operation on orbit : injection,1091,,,0,,0.5851983428001400,UNCHECKED,,,4311417,VALUE,,,
41256;41258;41273,Other operation on orbit : open reduction of orbital fracture,1094,,,0,,0.6462633609771730,UNCHECKED,,,4033507,VALUE,,,
41256;41258;41273,"Tenotomy or myotomy, eye muscle",110,,,0,,0.6717782616615300,UNCHECKED,,,4144521,VALUE,,,
