field_id,field_name,main_category_id,main_category_name,category_tree,type_concept_id
78,"Heel bone mineral density (BMD) T-score, automated",100018,Bone-densitometry of heel,100018>100006>100000,32879
3081,Foot measured for bone density,100018,Bone-densitometry of heel,100018>100006>100000,32879
3082,Fractured heel,100018,Bone-densitometry of heel,100018>100006>100000,32879
3083,"Heel quantitative ultrasound index (QUI), manual entry",100018,Bone-densitometry of heel,100018>100006>100000,32879
3084,"Heel bone mineral density (BMD), manual entry",100018,Bone-densitometry of heel,100018>100006>100000,32879
3085,"Heel Broadband ultrasound attenuation (BUA), manual entry",100018,Bone-densitometry of heel,100018>100006>100000,32879
3086,"Speed of sound through heel, manual entry",100018,Bone-densitometry of heel,100018>100006>100000,32879
3143,Ankle spacing width,100018,Bone-densitometry of heel,100018>100006>100000,32879
3144,"Heel Broadband ultrasound attenuation, direct entry",100018,Bone-densitometry of heel,100018>100006>100000,32879
3146,Speed of sound through heel,100018,Bone-densitometry of heel,100018>100006>100000,32879
3147,"Heel quantitative ultrasound index (QUI), direct entry",100018,Bone-densitometry of heel,100018>100006>100000,32879
3148,Heel bone mineral density (BMD),100018,Bone-densitometry of heel,100018>100006>100000,32879
4092,Heel ultrasound method (left),100018,Bone-densitometry of heel,100018>100006>100000,32879
4093,Fractured heel (left),100018,Bone-densitometry of heel,100018>100006>100000,32879
4095,Heel ultrasound method (right),100018,Bone-densitometry of heel,100018>100006>100000,32879
4096,Fractured heel (right),100018,Bone-densitometry of heel,100018>100006>100000,32879
4100,Ankle spacing width (left),100018,Bone-densitometry of heel,100018>100006>100000,32879
4101,Heel broadband ultrasound attenuation (left),100018,Bone-densitometry of heel,100018>100006>100000,32879
4103,Speed of sound through heel (left),100018,Bone-densitometry of heel,100018>100006>100000,32879
4104,"Heel quantitative ultrasound index (QUI), direct entry (left)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4105,Heel bone mineral density (BMD) (left),100018,Bone-densitometry of heel,100018>100006>100000,32879
4106,"Heel bone mineral density (BMD) T-score, automated (left)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4119,Ankle spacing width (right),100018,Bone-densitometry of heel,100018>100006>100000,32879
4120,Heel broadband ultrasound attenuation (right),100018,Bone-densitometry of heel,100018>100006>100000,32879
4122,Speed of sound through heel (right),100018,Bone-densitometry of heel,100018>100006>100000,32879
4123,"Heel quantitative ultrasound index (QUI), direct entry (right)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4124,Heel bone mineral density (BMD) (right),100018,Bone-densitometry of heel,100018>100006>100000,32879
4125,"Heel bone mineral density (BMD) T-score, automated (right)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4138,"Heel bone mineral density (BMD) T-score, manual entry (left)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4139,"Heel quantitative ultrasound index (QUI), manual entry (left)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4140,"Heel bone mineral density (BMD), manual entry (left)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4141,"Heel broadband ultrasound attenuation (BUA), manual entry (left)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4142,"Speed of sound through heel, manual entry (left)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4143,"Heel bone mineral density (BMD) T-score, manual entry (right)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4144,"Heel quantitative ultrasound index (QUI), manual entry (right)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4145,"Heel bone mineral density (BMD), manual entry (right)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4146,"Heel broadband ultrasound attenuation (BUA), manual entry (right)",100018,Bone-densitometry of heel,100018>100006>100000,32879
4147,"Speed of sound through heel, manual entry (right)",100018,Bone-densitometry of heel,100018>100006>100000,32879
21,Weight method,100010,Body size measures,100010>100008>100006>100000,32879
39,Height measure device ID,100010,Body size measures,100010>100008>100006>100000,32879
40,Manual scales device ID,100010,Body size measures,100010>100008>100006>100000,32879
41,Seating box device ID,100010,Body size measures,100010>100008>100006>100000,32879
44,Tape measure device ID,100010,Body size measures,100010>100008>100006>100000,32879
48,Waist circumference,100010,Body size measures,100010>100008>100006>100000,32879
49,Hip circumference,100010,Body size measures,100010>100008>100006>100000,32879
50,Standing height,100010,Body size measures,100010>100008>100006>100000,32879
51,Seated height,100010,Body size measures,100010>100008>100006>100000,32879
3077,Seating box height,100010,Body size measures,100010>100008>100006>100000,32879
3160,"Weight, manual entry",100010,Body size measures,100010>100008>100006>100000,32879
12143,Weight (pre-imaging),100010,Body size measures,100010>100008>100006>100000,32879
12144,Height,100010,Body size measures,100010>100008>100006>100000,32879
20015,Sitting height,100010,Body size measures,100010>100008>100006>100000,32879
20041,Reason for skipping weight,100010,Body size measures,100010>100008>100006>100000,32879
20045,Reason for skipping waist,100010,Body size measures,100010>100008>100006>100000,32879
20046,Reason for skipping hip measurement,100010,Body size measures,100010>100008>100006>100000,32879
20047,Reason for skipping standing height,100010,Body size measures,100010>100008>100006>100000,32879
20048,Reason for skipping sitting height,100010,Body size measures,100010>100008>100006>100000,32879
21001,Body mass index (BMI),100010,Body size measures,100010>100008>100006>100000,32879
21002,Weight,100010,Body size measures,100010>100008>100006>100000,32879
23,Spirometry method,100020,Spirometry,100020>100006>100000,32879
42,Spirometer device ID,100020,Spirometry,100020>100006>100000,32879
3059,Result ranking,100020,Spirometry,100020>100006>100000,32879
3060,Time of blow measurement,100020,Spirometry,100020>100006>100000,32879
3061,Acceptability of each blow result,100020,Spirometry,100020>100006>100000,32879
3062,Forced vital capacity (FVC),100020,Spirometry,100020>100006>100000,32879
3063,Forced expiratory volume in 1-second (FEV1),100020,Spirometry,100020>100006>100000,32879
3064,Peak expiratory flow (PEF),100020,Spirometry,100020>100006>100000,32879
3065,Ordering of blows,100020,Spirometry,100020>100006>100000,32879
3066,Data points for blow,100020,Spirometry,100020>100006>100000,32879
3088,Contra-indications for spirometry,100020,Spirometry,100020>100006>100000,32879
3089,Caffeine drink within last hour,100020,Spirometry,100020>100006>100000,32879
3090,Used an inhaler for chest within last hour,100020,Spirometry,100020>100006>100000,32879
3132,Spirometry device serial number,100020,Spirometry,100020>100006>100000,32879
3137,Number of measurements made,100020,Spirometry,100020>100006>100000,32879
3159,Smoked cigarette or pipe within last hour,100020,Spirometry,100020>100006>100000,32879
10691,Result ranking (pilot),100020,Spirometry,100020>100006>100000,32879
10693,Acceptability of each blow result (pilot),100020,Spirometry,100020>100006>100000,32879
10694,Forced vital capacity (FVC) (pilot),100020,Spirometry,100020>100006>100000,32879
10695,Forced expiratory volume in 1-second (FEV1) (pilot),100020,Spirometry,100020>100006>100000,32879
10696,Peak expiratory flow (PEF) (pilot),100020,Spirometry,100020>100006>100000,32879
10697,Data points for blow (pilot),100020,Spirometry,100020>100006>100000,32879
10711,Spirometry method (pilot),100020,Spirometry,100020>100006>100000,32879
10714,Spirometry device serial number (pilot),100020,Spirometry,100020>100006>100000,32879
10717,Number of measurements made (pilot),100020,Spirometry,100020>100006>100000,32879
20031,Acceptability of each blow result (text),100020,Spirometry,100020>100006>100000,32879
20032,Acceptability of each blow result (text) (pilot),100020,Spirometry,100020>100006>100000,32879
20042,Reason for skipping spirometry,100020,Spirometry,100020>100006>100000,32879
20150,"Forced expiratory volume in 1-second (FEV1), Best measure",100020,Spirometry,100020>100006>100000,32879
20151,"Forced vital capacity (FVC), Best measure",100020,Spirometry,100020>100006>100000,32879
20152,Reproduciblity of spirometry measurement using ERS/ATS criteria,100020,Spirometry,100020>100006>100000,32879
20153,"Forced expiratory volume in 1-second (FEV1), predicted",100020,Spirometry,100020>100006>100000,32879
20154,"Forced expiratory volume in 1-second (FEV1), predicted percentage",100020,Spirometry,100020>100006>100000,32879
20255,Spirometry QC measure,100020,Spirometry,100020>100006>100000,32879
20256,Forced expiratory volume in 1-second (FEV1) Z-score,100020,Spirometry,100020>100006>100000,32879
20257,Forced vital capacity (FVC) Z-score,100020,Spirometry,100020>100006>100000,32879
20258,FEV1/ FVC ratio Z-score,100020,Spirometry,100020>100006>100000,32879
31,Sex,100094,Baseline characteristics,100094>1,32879
33,Date of birth,100094,Baseline characteristics,100094>1,32879
34,Year of birth,100094,Baseline characteristics,100094>1,32879
52,Month of birth,100094,Baseline characteristics,100094>1,32879
189,Townsend deprivation index at recruitment,100094,Baseline characteristics,100094>1,32879
21022,Age at recruitment,100094,Baseline characteristics,100094>1,32879
35,Was blood sampling attempted,100002,Blood sample collection,100002>100001>100000,32879
68,Number of blood samples taken,100002,Blood sample collection,100002>100001>100000,32879
74,Fasting time,100002,Blood sample collection,100002>100001>100000,32879
3166,Time blood sample collected,100002,Blood sample collection,100002>100001>100000,32879
20049,"Blood sample #, note contents",100002,Blood sample collection,100002>100001>100000,32879
20050,Reason blood sampling not attempted,100002,Blood sample collection,100002>100001>100000,32879
36,Blood pressure device ID,100011,Blood pressure,100011>100006>100000,32879
37,Blood pressure manual sphygmomanometer device ID,100011,Blood pressure,100011>100006>100000,32879
93,"Systolic blood pressure, manual reading",100011,Blood pressure,100011>100006>100000,32879
94,"Diastolic blood pressure, manual reading",100011,Blood pressure,100011>100006>100000,32879
95,Pulse rate (during blood-pressure measurement),100011,Blood pressure,100011>100006>100000,32879
96,Time since interview start at which blood pressure screen(s) shown,100011,Blood pressure,100011>100006>100000,32879
102,"Pulse rate, automated reading",100011,Blood pressure,100011>100006>100000,32879
4079,"Diastolic blood pressure, automated reading",100011,Blood pressure,100011>100006>100000,32879
4080,"Systolic blood pressure, automated reading",100011,Blood pressure,100011>100006>100000,32879
4081,Method of measuring blood pressure,100011,Blood pressure,100011>100006>100000,32879
38,Hand grip dynamometer device ID,100019,Hand grip strength,100019>100006>100000,32879
46,Hand grip strength (left),100019,Hand grip strength,100019>100006>100000,32879
47,Hand grip strength (right),100019,Hand grip strength,100019>100006>100000,32879
20043,Reason for skipping grip strength (right),100019,Hand grip strength,100019>100006>100000,32879
20044,Reason for skipping grip strength (left),100019,Hand grip strength,100019>100006>100000,32879
43,Impedance device ID,100009,Impedance measures,100009>100008>100006>100000,32879
6218,"Impedance of whole body, manual entry",100009,Impedance measures,100009>100008>100006>100000,32879
6219,"Impedance of leg, manual entry (right)",100009,Impedance measures,100009>100008>100006>100000,32879
6220,"Impedance of leg, manual entry (left)",100009,Impedance measures,100009>100008>100006>100000,32879
6221,"Impedance of arm, manual entry (right)",100009,Impedance measures,100009>100008>100006>100000,32879
6222,"Impedance of arm, manual entry (left)",100009,Impedance measures,100009>100008>100006>100000,32879
23098,Weight,100009,Impedance measures,100009>100008>100006>100000,32879
23099,Body fat percentage,100009,Impedance measures,100009>100008>100006>100000,32879
23100,Whole body fat mass,100009,Impedance measures,100009>100008>100006>100000,32879
23101,Whole body fat-free mass,100009,Impedance measures,100009>100008>100006>100000,32879
23102,Whole body water mass,100009,Impedance measures,100009>100008>100006>100000,32879
23104,Body mass index (BMI),100009,Impedance measures,100009>100008>100006>100000,32879
23105,Basal metabolic rate,100009,Impedance measures,100009>100008>100006>100000,32879
23106,Impedance of whole body,100009,Impedance measures,100009>100008>100006>100000,32879
23107,Impedance of leg (right),100009,Impedance measures,100009>100008>100006>100000,32879
23108,Impedance of leg (left),100009,Impedance measures,100009>100008>100006>100000,32879
23109,Impedance of arm (right),100009,Impedance measures,100009>100008>100006>100000,32879
23110,Impedance of arm (left),100009,Impedance measures,100009>100008>100006>100000,32879
23111,Leg fat percentage (right),100009,Impedance measures,100009>100008>100006>100000,32879
23112,Leg fat mass (right),100009,Impedance measures,100009>100008>100006>100000,32879
23113,Leg fat-free mass (right),100009,Impedance measures,100009>100008>100006>100000,32879
23114,Leg predicted mass (right),100009,Impedance measures,100009>100008>100006>100000,32879
23115,Leg fat percentage (left),100009,Impedance measures,100009>100008>100006>100000,32879
23116,Leg fat mass (left),100009,Impedance measures,100009>100008>100006>100000,32879
23117,Leg fat-free mass (left),100009,Impedance measures,100009>100008>100006>100000,32879
23118,Leg predicted mass (left),100009,Impedance measures,100009>100008>100006>100000,32879
23119,Arm fat percentage (right),100009,Impedance measures,100009>100008>100006>100000,32879
23120,Arm fat mass (right),100009,Impedance measures,100009>100008>100006>100000,32879
23121,Arm fat-free mass (right),100009,Impedance measures,100009>100008>100006>100000,32879
23122,Arm predicted mass (right),100009,Impedance measures,100009>100008>100006>100000,32879
23123,Arm fat percentage (left),100009,Impedance measures,100009>100008>100006>100000,32879
23124,Arm fat mass (left),100009,Impedance measures,100009>100008>100006>100000,32879
23125,Arm fat-free mass (left),100009,Impedance measures,100009>100008>100006>100000,32879
23126,Arm predicted mass (left),100009,Impedance measures,100009>100008>100006>100000,32879
23127,Trunk fat percentage,100009,Impedance measures,100009>100008>100006>100000,32879
23128,Trunk fat mass,100009,Impedance measures,100009>100008>100006>100000,32879
23129,Trunk fat-free mass,100009,Impedance measures,100009>100008>100006>100000,32879
23130,Trunk predicted mass,100009,Impedance measures,100009>100008>100006>100000,32879
53,Date of attending assessment centre,100024,Reception,100024>100021>100000,32879
54,UK Biobank assessment centre,100024,Reception,100024>100021>100000,32879
55,Month of attending assessment centre,100024,Reception,100024>100021>100000,32879
20033,Home location at assessment - east co-ordinate,100024,Reception,100024>100021>100000,32879
20034,Home location at assessment - north co-ordinate,100024,Reception,100024>100021>100000,32879
20074,Home location at assessment - east co-ordinate (rounded),100024,Reception,100024>100021>100000,32879
20075,Home location at assessment - north co-ordinate (rounded),100024,Reception,100024>100021>100000,32879
20118,Home area population density - urban or rural,100024,Reception,100024>100021>100000,32879
20270,Home location - census output area (2001 Census),100024,Reception,100024>100021>100000,32879
20271,Home location - lower layer super output area (2001 Census),100024,Reception,100024>100021>100000,32879
20272,Home location - local authority district (2001 boundaries),100024,Reception,100024>100021>100000,32879
20273,Home location - census output area (2011 Census),100024,Reception,100024>100021>100000,32879
20274,Home location - lower layer super output area (2011 Census),100024,Reception,100024>100021>100000,32879
20275,Home location - middle layer super output area (2011 Census),100024,Reception,100024>100021>100000,32879
20276,Home location - local authority district (2011 boundaries),100024,Reception,100024>100021>100000,32879
21003,Age when attended assessment centre,100024,Reception,100024>100021>100000,32879
62,Willing to attempt cognitive tests,100004,Procedural metrics,100004>100000,32879
111,Aide-memoire completed,100004,Procedural metrics,100004>100000,32879
12148,Number of imaging stages blocked at screening,100004,Procedural metrics,100004>100000,32879
84,Cancer year/age first occurred,100074,Medical conditions,100074>100071>100000,32851
87,Non-cancer illness year/age first occurred,100074,Medical conditions,100074>100071>100000,32851
134,Number of self-reported cancers,100074,Medical conditions,100074>100071>100000,32851
135,Number of self-reported non-cancer illnesses,100074,Medical conditions,100074>100071>100000,32851
3140,Pregnant,100074,Medical conditions,100074>100071>100000,32851
20001,"Cancer code, self-reported",100074,Medical conditions,100074>100071>100000,32851
20002,"Non-cancer illness code, self-reported",100074,Medical conditions,100074>100071>100000,32851
20006,Interpolated Year when cancer first diagnosed,100074,Medical conditions,100074>100071>100000,32851
20007,Interpolated Age of participant when cancer first diagnosed,100074,Medical conditions,100074>100071>100000,32851
20008,Interpolated Year when non-cancer illness first diagnosed,100074,Medical conditions,100074>100071>100000,32851
20009,Interpolated Age of participant when non-cancer illness first diagnosed,100074,Medical conditions,100074>100071>100000,32851
20012,Method of recording time when cancer first diagnosed,100074,Medical conditions,100074>100071>100000,32851
20013,Method of recording time when non-cancer illness first diagnosed,100074,Medical conditions,100074>100071>100000,32851
92,Operation year/age first occurred,100076,Operations,100076>100071>100000,32851
136,"Number of operations, self-reported",100076,Operations,100076>100071>100000,32851
3079,Pace-maker,100076,Operations,100076>100071>100000,32851
20004,Operation code,100076,Operations,100076>100071>100000,32851
20010,Interpolated Year when operation took place,100076,Operations,100076>100071>100000,32851
20011,Interpolated Age of participant when operation took place,100076,Operations,100076>100071>100000,32851
20014,Method of recording time when operation occurred,100076,Operations,100076>100071>100000,32851
115,Father's month of birth,100072,Early life factors,100072>100071>100000,32851
117,Mother's month of birth,100072,Early life factors,100072>100071>100000,32851
118,Mother's day of birth,100072,Early life factors,100072>100071>100000,32851
120,Birth weight known,100072,Early life factors,100072>100071>100000,32851
129,Place of birth in UK - north co-ordinate,100072,Early life factors,100072>100071>100000,32851
130,Place of birth in UK - east co-ordinate,100072,Early life factors,100072>100071>100000,32851
146,Father's day of birth,100072,Early life factors,100072>100071>100000,32851
20022,Birth weight,100072,Early life factors,100072>100071>100000,32851
20115,Country of Birth (non-UK origin),100072,Early life factors,100072>100071>100000,32851
132,Job code at visit - entered,100073,Employment,100073>100071>100000,32851
20024,Job code at visit - deduced,100073,Employment,100073>100071>100000,32851
20121,Cascot confidence score,100073,Employment,100073>100071>100000,32851
20277,Job code at visit,100073,Employment,100073>100071>100000,32851
137,Number of treatments/medications taken,100075,Medications,100075>100071>100000,32851
6671,Number of antibiotics taken in last 3 months,100075,Medications,100075>100071>100000,32851
20003,Treatment/medication code,100075,Medications,100075>100071>100000,32851
20076,Treatment/medication READ-code,100075,Medications,100075>100071>100000,32851
20199,Antibiotic codes for last 3 months,100075,Medications,100075>100071>100000,32851
190,Reason lost to follow-up,2,Ongoing characteristics,2>1,32879
191,Date lost to follow-up,2,Ongoing characteristics,2>1,32879
20005,Email access,2,Ongoing characteristics,2>1,32879
110007,"Newsletter communications, date sent",2,Ongoing characteristics,2>1,32879
200,Date of consenting to join UK Biobank,100023,Consent,100023>100021>100000,32879
393,Program (tactus) version ID (compiler timestamp),100023,Consent,100023>100021>100000,32879
396,Number of columns displayed in round,100030,Pairs matching,100030>100026>100000,32862
397,Number of rows displayed in round,100030,Pairs matching,100030>100026>100000,32862
398,Number of correct matches in round,100030,Pairs matching,100030>100026>100000,32862
399,Number of incorrect matches in round,100030,Pairs matching,100030>100026>100000,32862
400,Time to complete round,100030,Pairs matching,100030>100026>100000,32862
6334,Screen layout,100030,Pairs matching,100030>100026>100000,32862
10133,Number of columns displayed in round (pilot),100030,Pairs matching,100030>100026>100000,32862
10134,Number of rows displayed in round (pilot),100030,Pairs matching,100030>100026>100000,32862
10136,Number of correct matches in round (pilot),100030,Pairs matching,100030>100026>100000,32862
10137,Number of incorrect matches in round (pilot),100030,Pairs matching,100030>100026>100000,32862
10138,Time to complete round (pilot),100030,Pairs matching,100030>100026>100000,32862
401,Index for card A in round,100032,Reaction time,100032>100026>100000,32862
402,Index for card B in round,100032,Reaction time,100032>100026>100000,32862
403,Number of times snap-button pressed,100032,Reaction time,100032>100026>100000,32862
404,Duration to first press of snap-button in each round,100032,Reaction time,100032>100026>100000,32862
10139,Index for card A in round (pilot),100032,Reaction time,100032>100026>100000,32862
10140,Index for card B in round (pilot),100032,Reaction time,100032>100026>100000,32862
10141,Number of times snap-button pressed (pilot),100032,Reaction time,100032>100026>100000,32862
10147,Duration to first press of snap-button in each round (pilot),100032,Reaction time,100032>100026>100000,32862
20023,Mean time to correctly identify matches,100032,Reaction time,100032>100026>100000,32862
670,Type of accommodation lived in,100066,Household,100066>100062>100025>100000,32862
680,Own or rent accommodation lived in,100066,Household,100066>100062>100025>100000,32862
699,Length of time at current address,100066,Household,100066>100062>100025>100000,32862
709,Number in household,100066,Household,100066>100062>100025>100000,32862
728,Number of vehicles in household,100066,Household,100066>100062>100025>100000,32862
738,Average total household income before tax,100066,Household,100066>100062>100025>100000,32862
6139,Gas or solid-fuel cooking/heating,100066,Household,100066>100062>100025>100000,32862
6140,Heating type(s) in home,100066,Household,100066>100062>100025>100000,32862
6141,How are people in household related to participant,100066,Household,100066>100062>100025>100000,32862
10860,Gas or solid-fuel cooking/heating (pilot),100066,Household,100066>100062>100025>100000,32862
10877,Average total household income before tax (pilot),100066,Household,100066>100062>100025>100000,32862
757,Time employed in main current job,100064,Employment,100064>100062>100025>100000,32862
767,Length of working week for main job,100064,Employment,100064>100062>100025>100000,32862
777,Frequency of travelling from home to job workplace,100064,Employment,100064>100062>100025>100000,32862
796,Distance between home and job workplace,100064,Employment,100064>100062>100025>100000,32862
806,Job involves mainly walking or standing,100064,Employment,100064>100062>100025>100000,32862
816,Job involves heavy manual or physical work,100064,Employment,100064>100062>100025>100000,32862
826,Job involves shift work,100064,Employment,100064>100062>100025>100000,32862
3426,Job involves night shift work,100064,Employment,100064>100062>100025>100000,32862
6142,Current employment status,100064,Employment,100064>100062>100025>100000,32862
6143,Transport type for commuting to job workplace,100064,Employment,100064>100062>100025>100000,32862
20119,Current employment status - corrected,100064,Employment,100064>100062>100025>100000,32862
845,Age completed full time education,100063,Education,100063>100062>100025>100000,32862
6138,Qualifications,100063,Education,100063>100062>100025>100000,32862
10722,Qualifications (pilot),100063,Education,100063>100062>100025>100000,32862
864,Number of days/week walked 10+ minutes,100054,Physical activity,100054>100050>100025>100000,32862
874,Duration of walks,100054,Physical activity,100054>100050>100025>100000,32862
884,Number of days/week of moderate physical activity 10+ minutes,100054,Physical activity,100054>100050>100025>100000,32862
894,Duration of moderate activity,100054,Physical activity,100054>100050>100025>100000,32862
904,Number of days/week of vigorous physical activity 10+ minutes,100054,Physical activity,100054>100050>100025>100000,32862
914,Duration of vigorous activity,100054,Physical activity,100054>100050>100025>100000,32862
924,Usual walking pace,100054,Physical activity,100054>100050>100025>100000,32862
943,Frequency of stair climbing in last 4 weeks,100054,Physical activity,100054>100050>100025>100000,32862
971,Frequency of walking for pleasure in last 4 weeks,100054,Physical activity,100054>100050>100025>100000,32862
981,Duration walking for pleasure,100054,Physical activity,100054>100050>100025>100000,32862
991,Frequency of strenuous sports in last 4 weeks,100054,Physical activity,100054>100050>100025>100000,32862
1001,Duration of strenuous sports,100054,Physical activity,100054>100050>100025>100000,32862
1011,Frequency of light DIY in last 4 weeks,100054,Physical activity,100054>100050>100025>100000,32862
1021,Duration of light DIY,100054,Physical activity,100054>100050>100025>100000,32862
1070,Time spent watching television (TV),100054,Physical activity,100054>100050>100025>100000,32862
1080,Time spent using computer,100054,Physical activity,100054>100050>100025>100000,32862
1090,Time spent driving,100054,Physical activity,100054>100050>100025>100000,32862
1100,Drive faster than motorway speed limit,100054,Physical activity,100054>100050>100025>100000,32862
2624,Frequency of heavy DIY in last 4 weeks,100054,Physical activity,100054>100050>100025>100000,32862
2634,Duration of heavy DIY,100054,Physical activity,100054>100050>100025>100000,32862
3637,Frequency of other exercises in last 4 weeks,100054,Physical activity,100054>100050>100025>100000,32862
3647,Duration of other exercises,100054,Physical activity,100054>100050>100025>100000,32862
6162,Types of transport used (excluding work),100054,Physical activity,100054>100050>100025>100000,32862
6164,Types of physical activity in last 4 weeks,100054,Physical activity,100054>100050>100025>100000,32862
10953,Duration of walks (pilot),100054,Physical activity,100054>100050>100025>100000,32862
10962,Duration of moderate physical activity (pilot),100054,Physical activity,100054>100050>100025>100000,32862
10971,Duration of vigorous physical activity (pilot),100054,Physical activity,100054>100050>100025>100000,32862
1031,Frequency of friend/family visits,100061,Social support,100061>100059>100025>100000,32862
2110,Able to confide,100061,Social support,100061>100059>100025>100000,32862
6160,Leisure/social activities,100061,Social support,100061>100059>100025>100000,32862
10740,Frequency of friend/family visits (pilot),100061,Social support,100061>100059>100025>100000,32862
1050,Time spend outdoors in summer,100055,Sun exposure,100055>100050>100025>100000,32862
1060,Time spent outdoors in winter,100055,Sun exposure,100055>100050>100025>100000,32862
1717,Skin colour,100055,Sun exposure,100055>100050>100025>100000,32862
1727,Ease of skin tanning,100055,Sun exposure,100055>100050>100025>100000,32862
1737,Childhood sunburn occasions,100055,Sun exposure,100055>100050>100025>100000,32862
1747,"Hair colour (natural, before greying)",100055,Sun exposure,100055>100050>100025>100000,32862
1757,Facial ageing,100055,Sun exposure,100055>100050>100025>100000,32862
2267,Use of sun/uv protection,100055,Sun exposure,100055>100050>100025>100000,32862
2277,Frequency of solarium/sunlamp use,100055,Sun exposure,100055>100050>100025>100000,32862
1110,Length of mobile phone use,100053,Electronic device use,100053>100050>100025>100000,32862
1120,Weekly usage of mobile phone in last 3 months,100053,Electronic device use,100053>100050>100025>100000,32862
1130,Hands-free device/speakerphone use with mobile phone in last 3 month,100053,Electronic device use,100053>100050>100025>100000,32862
1140,Difference in mobile phone use compared to two years previously,100053,Electronic device use,100053>100050>100025>100000,32862
1150,Usual side of head for mobile phone use,100053,Electronic device use,100053>100050>100025>100000,32862
2237,Plays computer games,100053,Electronic device use,100053>100050>100025>100000,32862
10016,Regular use of hands-free device/speakerphone with mobile phone (pilot),100053,Electronic device use,100053>100050>100025>100000,32862
10105,Internet user (pilot),100053,Electronic device use,100053>100050>100025>100000,32862
10114,Willing to be contacted by email (pilot),100053,Electronic device use,100053>100050>100025>100000,32862
10749,Time using mobile phone in last 3 months (pilot),100053,Electronic device use,100053>100050>100025>100000,32862
10886,Difference in mobile phone use compared to one year previously (pilot),100053,Electronic device use,100053>100050>100025>100000,32862
1160,Sleep duration,100057,Sleep,100057>100050>100025>100000,32862
1170,Getting up in morning,100057,Sleep,100057>100050>100025>100000,32862
1180,Morning/evening person (chronotype),100057,Sleep,100057>100050>100025>100000,32862
1190,Nap during day,100057,Sleep,100057>100050>100025>100000,32862
1200,Sleeplessness / insomnia,100057,Sleep,100057>100050>100025>100000,32862
1210,Snoring,100057,Sleep,100057>100050>100025>100000,32862
1220,Daytime dozing / sleeping (narcolepsy),100057,Sleep,100057>100050>100025>100000,32862
1239,Current tobacco smoking,100058,Smoking,100058>100050>100025>100000,32862
1249,Past tobacco smoking,100058,Smoking,100058>100050>100025>100000,32862
1259,Smoking/smokers in household,100058,Smoking,100058>100050>100025>100000,32862
1269,Exposure to tobacco smoke at home,100058,Smoking,100058>100050>100025>100000,32862
1279,Exposure to tobacco smoke outside home,100058,Smoking,100058>100050>100025>100000,32862
2644,"Light smokers, at least 100 smokes in lifetime",100058,Smoking,100058>100050>100025>100000,32862
