sourceCode,sourceName,sourceValueCode,sourceValueName,sourceUnitName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:category_name,ADD_INFO:notes,matchScore,mappingStatus,statusSetBy,statusSetOn,conceptId,mappingType,comment,createdBy,createdOn
2834,Bilateral oophorectomy (both ovaries removed),-3,Prefer not to answer,,309808,,Female-specific factors,"ACE touchscreen question ''Have you had BOTH ovaries removed?'' If the participant activated the Help button they were shown the message: Only enter Yes if you have had both ovaries removed. If you have only had one ovary removed you will be able to let the interviewer know later in the visit. If you are unsure of whether both ovaries have been removed, select Do not know. ",0.6687980890274048,IGNORED,,0,0,EVENT,,,1610120855659
2335,Chest pain or discomfort,0,No,,573339,,Chest pain,ACE touchscreen question ''Do you ever have any pain or discomfort in your chest?'',0.8702327013015747,APPROVED,sofia,1610120552130,4133044,VALUE,,,1610119527478
2335,Chest pain or discomfort,0,No,,573339,,Chest pain,ACE touchscreen question ''Do you ever have any pain or discomfort in your chest?'',0.8702327013015747,APPROVED,sofia,1610120552130,40481925,EVENT,,sofia,1610120550031
2774,"Ever had stillbirth, spontaneous miscarriage or termination",-3,Prefer not to answer,,309808,,Female-specific factors,"ACE touchscreen question ''Have you ever had any stillbirths, spontaneous miscarriages or terminations?''",0.4950195848941803,IGNORED,,0,0,EVENT,,,1610120855659
4041,Gestational diabetes only,0,No,,11738,,Medical conditions,"ACE touchscreen question ''Did you only have diabetes during pregnancy?'' ~F4041~ was collected from women who indicated that a doctor had told them they had diabetes, as defined by their answers to ~F2443~",0.7677391767501831,FLAGGED,,0,4211787,EVENT,"If not 'Gestational diabetes only', can we assume there is no evidence of gestational diabetes?",,1610119527478
4041,Gestational diabetes only,0,No,,11738,,Medical conditions,"ACE touchscreen question ''Did you only have diabetes during pregnancy?'' ~F4041~ was collected from women who indicated that a doctor had told them they had diabetes, as defined by their answers to ~F2443~",0.7677391767501831,FLAGGED,,0,4024659,VALUE,"If not 'Gestational diabetes only', can we assume there is no evidence of gestational diabetes?",,1610119527479
2335,Chest pain or discomfort,1,Yes,,573339,,Chest pain,ACE touchscreen question ''Do you ever have any pain or discomfort in your chest?'',0.8702327013015747,APPROVED,sofia,1610120536266,4133044,VALUE,,,1610119527479
2335,Chest pain or discomfort,1,Yes,,573339,,Chest pain,ACE touchscreen question ''Do you ever have any pain or discomfort in your chest?'',0.8702327013015747,APPROVED,sofia,1610120536266,4214956,EVENT,,sofia,1610120534002
4041,Gestational diabetes only,1,Yes,,11738,,Medical conditions,"ACE touchscreen question ''Did you only have diabetes during pregnancy?'' ~F4041~ was collected from women who indicated that a doctor had told them they had diabetes, as defined by their answers to ~F2443~",0.7677391767501831,APPROVED,sofia,1610120590500,4024659,VALUE,,,1610119527479
4041,Gestational diabetes only,1,Yes,,11738,,Medical conditions,"ACE touchscreen question ''Did you only have diabetes during pregnancy?'' ~F4041~ was collected from women who indicated that a doctor had told them they had diabetes, as defined by their answers to ~F2443~",0.7677391767501831,APPROVED,sofia,1610120590500,4214956,EVENT,,sofia,1610120587415
2834,Bilateral oophorectomy (both ovaries removed),-5,Not sure,,309808,,Female-specific factors,"ACE touchscreen question ''Have you had BOTH ovaries removed?'' If the participant activated the Help button they were shown the message: Only enter Yes if you have had both ovaries removed. If you have only had one ovary removed you will be able to let the interviewer know later in the visit. If you are unsure of whether both ovaries have been removed, select Do not know. ",0.6687980890274048,IGNORED,,0,0,EVENT,,,1610120855659
2443,Diabetes diagnosed by doctor,-1,Do not know,,573331,,Medical conditions,"ACE touchscreen question ''Has a doctor ever told you that you have diabetes?'' If the participant activated the Help button they were shown the message: If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit. ",0.585104763507843,IGNORED,,0,0,EVENT,,,1610120855659
2774,"Ever had stillbirth, spontaneous miscarriage or termination",0,No,,309808,,Female-specific factors,"ACE touchscreen question ''Have you ever had any stillbirths, spontaneous miscarriages or terminations?''",0.4950195848941803,APPROVED,sofia,1610120647410,40539858,VALUE,,,1610119527482
2774,"Ever had stillbirth, spontaneous miscarriage or termination",0,No,,309808,,Female-specific factors,"ACE touchscreen question ''Have you ever had any stillbirths, spontaneous miscarriages or terminations?''",0.4950195848941803,APPROVED,sofia,1610120647410,40481925,EVENT,,sofia,1610120639741
2335,Chest pain or discomfort,-1,Do not know,,573339,,Chest pain,ACE touchscreen question ''Do you ever have any pain or discomfort in your chest?'',0.8702327013015747,IGNORED,,0,0,EVENT,,,1610120855659
2784,Ever taken oral contraceptive pill,0,No,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever taken the contraceptive pill? (include the 'mini-pill')'',0.7538747787475586,APPROVED,sofia,1610120670524,4241216,VALUE,,,1610119527483
2784,Ever taken oral contraceptive pill,0,No,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever taken the contraceptive pill? (include the 'mini-pill')'',0.7538747787475586,APPROVED,sofia,1610120670524,40481925,EVENT,,sofia,1610120669441
2986,Started insulin within one year diagnosis of diabetes,-1,Do not know,,29218,,Medical conditions,"ACE touchscreen question ''Did you start insulin within one year of your diagnosis of diabetes?'' ~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~",0.41381725668907166,IGNORED,,0,0,EVENT,,,1610120855660
2335,Chest pain or discomfort,-3,Prefer not to answer,,573339,,Chest pain,ACE touchscreen question ''Do you ever have any pain or discomfort in your chest?'',0.8702327013015747,IGNORED,,0,0,EVENT,,,1610120855660
2724,Had menopause,2,Not sure - had a hysterectomy,,309811,,Female-specific factors,ACE touchscreen question ''Have you had your menopause (periods stopped)?'',0.8264210224151611,IGNORED,,0,0,EVENT,History of hysterectomy to be captured from field 3591,,1610120855660
2774,"Ever had stillbirth, spontaneous miscarriage or termination",1,Yes,,309808,,Female-specific factors,"ACE touchscreen question ''Have you ever had any stillbirths, spontaneous miscarriages or terminations?''",0.4950195848941803,APPROVED,sofia,1610120625336,40539858,VALUE,,,1610119527484
2774,"Ever had stillbirth, spontaneous miscarriage or termination",1,Yes,,309808,,Female-specific factors,"ACE touchscreen question ''Have you ever had any stillbirths, spontaneous miscarriages or terminations?''",0.4950195848941803,APPROVED,sofia,1610120625336,4214956,EVENT,,sofia,1610120618905
2784,Ever taken oral contraceptive pill,1,Yes,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever taken the contraceptive pill? (include the 'mini-pill')'',0.7538747787475586,APPROVED,sofia,1610120689725,4241216,VALUE,,,1610119527484
2784,Ever taken oral contraceptive pill,1,Yes,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever taken the contraceptive pill? (include the 'mini-pill')'',0.7538747787475586,APPROVED,sofia,1610120689725,4214956,EVENT,,sofia,1610120685034
2986,Started insulin within one year diagnosis of diabetes,-3,Prefer not to answer,,29218,,Medical conditions,"ACE touchscreen question ''Did you start insulin within one year of your diagnosis of diabetes?'' ~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~",0.41381725668907166,IGNORED,,0,0,EVENT,,,1610120855660
2814,Ever used hormone-replacement therapy (HRT),-1,Do not know,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever used hormone replacement therapy (HRT)?'',0.7395877838134766,IGNORED,,0,0,EVENT,,,1610120855660
2784,Ever taken oral contraceptive pill,-1,Do not know,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever taken the contraceptive pill? (include the 'mini-pill')'',0.7538747787475586,IGNORED,,0,0,EVENT,,,1610120855660
2774,"Ever had stillbirth, spontaneous miscarriage or termination",-1,Do not know,,309808,,Female-specific factors,"ACE touchscreen question ''Have you ever had any stillbirths, spontaneous miscarriages or terminations?''",0.4950195848941803,IGNORED,,0,0,EVENT,,,1610120855660
2986,Started insulin within one year diagnosis of diabetes,0,No,,29218,,Medical conditions,"ACE touchscreen question ''Did you start insulin within one year of your diagnosis of diabetes?'' ~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~",0.41381725668907166,APPROVED,sofia,1610120844623,4086160,VALUE,,,1610119527484
2986,Started insulin within one year diagnosis of diabetes,0,No,,29218,,Medical conditions,"ACE touchscreen question ''Did you start insulin within one year of your diagnosis of diabetes?'' ~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~",0.41381725668907166,APPROVED,sofia,1610120844623,40481925,EVENT,,sofia,1610120842704
2834,Bilateral oophorectomy (both ovaries removed),0,No,,309808,,Female-specific factors,"ACE touchscreen question ''Have you had BOTH ovaries removed?'' If the participant activated the Help button they were shown the message: Only enter Yes if you have had both ovaries removed. If you have only had one ovary removed you will be able to let the interviewer know later in the visit. If you are unsure of whether both ovaries have been removed, select Do not know. ",0.6687980890274048,APPROVED,sofia,1610120721193,4297990,VALUE,,,1610119527486
2834,Bilateral oophorectomy (both ovaries removed),0,No,,309808,,Female-specific factors,"ACE touchscreen question ''Have you had BOTH ovaries removed?'' If the participant activated the Help button they were shown the message: Only enter Yes if you have had both ovaries removed. If you have only had one ovary removed you will be able to let the interviewer know later in the visit. If you are unsure of whether both ovaries have been removed, select Do not know. ",0.6687980890274048,APPROVED,sofia,1610120721193,40481925,EVENT,,sofia,1610120718182
2784,Ever taken oral contraceptive pill,-3,Prefer not to answer,,309808,,Female-specific factors,ACE touchscreen question ''Have you ever taken the contraceptive pill? (include the 'mini-pill')'',0.7538747787475586,IGNORED,,0,0,EVENT,,,1610120855660
2834,Bilateral oophorectomy (both ovaries removed),1,Yes,,309808,,Female-specific factors,"ACE touchscreen question ''Have you had BOTH ovaries removed?'' If the participant activated the Help button they were shown the message: Only enter Yes if you have had both ovaries removed. If you have only had one ovary removed you will be able to let the interviewer know later in the visit. If you are unsure of whether both ovaries have been removed, select Do not know. ",0.6687980890274048,APPROVED,sofia,1610120735293,4297990,VALUE,,,1610119527486
2834,Bilateral oophorectomy (both ovaries removed),1,Yes,,309808,,Female-specific factors,"ACE touchscreen question ''Have you had BOTH ovaries removed?'' If the participant activated the Help button they were shown the message: Only enter Yes if you have had both ovaries removed. If you have only had one ovary removed you will be able to let the interviewer know later in the visit. If you are unsure of whether both ovaries have been removed, select Do not know. ",0.6687980890274048,APPROVED,sofia,1610120735293,4214956,EVENT,,sofia,1610120732555
2345,Ever had bowel cancer screening,-1,Do not know,,573745,,Cancer screening,0.0,IGNORED,Maxim,1610452540237,0,EVENT,,,0
2345,Ever had bowel cancer screening,-3,Prefer not to answer,,573745,,Cancer screening,0.0,IGNORED,Maxim,1610452541102,0,EVENT,,,0
2345,Ever had bowel cancer screening,0,No,,573745,,Cancer screening,0.0,APPROVED,Maxim,1610452676934,4211787,EVENT,,Maxim,1610452564873
2345,Ever had bowel cancer screening,0,No,,573745,,Cancer screening,0.0,APPROVED,Maxim,1610452676934,4175226,VALUE,,Maxim,1610452633591
2345,Ever had bowel cancer screening,1,Yes,,573745,,Cancer screening,0.0,APPROVED,Maxim,1610452677311,4188893,EVENT,,Maxim,1610452607816
2345,Ever had bowel cancer screening,1,Yes,,573745,,Cancer screening,0.0,APPROVED,Maxim,1610452677311,4175226,VALUE,,Maxim,1610452636185
2365,Ever had prostate specific antigen (PSA) test,-1,Do not know,,573745,,Cancer screening,0.0,IGNORED,Maxim,1610452545060,0,EVENT,,,0
2365,Ever had prostate specific antigen (PSA) test,-3,Prefer not to answer,,573745,,Cancer screening,0.0,IGNORED,Maxim,1610452545397,0,EVENT,,,0
2365,Ever had prostate specific antigen (PSA) test,0,No,,573745,,Cancer screening,0.0,APPROVED,Maxim,1610452679544,4211787,EVENT,,Maxim,1610452578487
2365,Ever had prostate specific antigen (PSA) test,0,No,,573745,,Cancer screening,0.0,APPROVED,Maxim,1610452679544,2617206,VALUE,,Maxim,1610452670153
2365,Ever had prostate specific antigen (PSA) test,1,Yes,,573745,,Cancer screening,0.0,APPROVED,Maxim,1610452679896,4188893,EVENT,,Maxim,1610452612058
2365,Ever had prostate specific antigen (PSA) test,1,Yes,,573745,,Cancer screening,0.0,APPROVED,Maxim,1610452679896,2617206,VALUE,,Maxim,1610452672634
